,label,charge
http://dl-learner.org/carcinogenesis#d102_7,2.0,-0.194
http://dl-learner.org/carcinogenesis#d102_8,2.0,0.056
http://dl-learner.org/carcinogenesis#d103_1,2.0,0.513
http://dl-learner.org/carcinogenesis#d103_2,2.0,0.112
http://dl-learner.org/carcinogenesis#d103_3,2.0,-0.187
http://dl-learner.org/carcinogenesis#d103_4,2.0,0.062
http://dl-learner.org/carcinogenesis#d103_5,2.0,0.062
http://dl-learner.org/carcinogenesis#d103_6,2.0,-0.187
http://dl-learner.org/carcinogenesis#d103_7,2.0,-0.188
http://dl-learner.org/carcinogenesis#d103_8,2.0,-0.187
http://dl-learner.org/carcinogenesis#d104_1,2.0,0.388
http://dl-learner.org/carcinogenesis#d104_2,2.0,0.388
http://dl-learner.org/carcinogenesis#d104_3,2.0,-0.212
http://dl-learner.org/carcinogenesis#d104_4,2.0,-0.212
http://dl-learner.org/carcinogenesis#d104_5,2.0,0.037
http://dl-learner.org/carcinogenesis#d104_6,2.0,-0.213
http://dl-learner.org/carcinogenesis#d104_7,2.0,-0.213
http://dl-learner.org/carcinogenesis#d104_8,2.0,0.037
http://dl-learner.org/carcinogenesis#d105_1,2.0,0.45
http://dl-learner.org/carcinogenesis#d105_2,2.0,-0.15
http://dl-learner.org/carcinogenesis#d105_3,2.0,-0.15
http://dl-learner.org/carcinogenesis#d105_4,2.0,-0.15
http://dl-learner.org/carcinogenesis#d105_5,2.0,-0.15
http://dl-learner.org/carcinogenesis#d105_6,2.0,0.15
http://dl-learner.org/carcinogenesis#d106_1,2.0,-0.086
http://dl-learner.org/carcinogenesis#d106_10,2.0,0.164
http://dl-learner.org/carcinogenesis#d106_11,2.0,0.034
http://dl-learner.org/carcinogenesis#d106_12,2.0,0.034
http://dl-learner.org/carcinogenesis#d106_13,2.0,0.163
http://dl-learner.org/carcinogenesis#d106_14,2.0,0.163
http://dl-learner.org/carcinogenesis#d106_15,2.0,0.463
http://dl-learner.org/carcinogenesis#d106_16,2.0,-0.036
http://dl-learner.org/carcinogenesis#d106_17,2.0,0.114
http://dl-learner.org/carcinogenesis#d106_18,2.0,0.114
http://dl-learner.org/carcinogenesis#d106_19,2.0,-0.136
http://dl-learner.org/carcinogenesis#d106_2,2.0,-0.036
http://dl-learner.org/carcinogenesis#d106_20,2.0,-0.136
http://dl-learner.org/carcinogenesis#d106_21,2.0,-0.136
http://dl-learner.org/carcinogenesis#d106_22,2.0,-0.136
http://dl-learner.org/carcinogenesis#d106_23,2.0,-0.136
http://dl-learner.org/carcinogenesis#d106_24,2.0,-0.136
http://dl-learner.org/carcinogenesis#d106_25,2.0,0.114
http://dl-learner.org/carcinogenesis#d106_26,2.0,0.114
http://dl-learner.org/carcinogenesis#d106_3,2.0,-0.136
http://dl-learner.org/carcinogenesis#d106_4,2.0,-0.136
http://dl-learner.org/carcinogenesis#d106_5,2.0,-0.036
http://dl-learner.org/carcinogenesis#d106_6,2.0,-0.086
http://dl-learner.org/carcinogenesis#d106_7,2.0,0.163
http://dl-learner.org/carcinogenesis#d106_8,2.0,-0.136
http://dl-learner.org/carcinogenesis#d106_9,2.0,-0.136
http://dl-learner.org/carcinogenesis#d107c_1,2.0,0.1
http://dl-learner.org/carcinogenesis#d107c_10,2.0,-0.1
http://dl-learner.org/carcinogenesis#d107c_11,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_12,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_13,2.0,-0.1
http://dl-learner.org/carcinogenesis#d107c_14,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_15,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_16,2.0,0.15
http://dl-learner.org/carcinogenesis#d107c_17,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_18,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_19,2.0,0.15
http://dl-learner.org/carcinogenesis#d107c_2,2.0,-0.1
http://dl-learner.org/carcinogenesis#d107c_20,2.0,-0.1
http://dl-learner.org/carcinogenesis#d107c_21,2.0,0.15
http://dl-learner.org/carcinogenesis#d107c_22,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_23,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_24,2.0,-0.1
http://dl-learner.org/carcinogenesis#d107c_25,2.0,-0.1
http://dl-learner.org/carcinogenesis#d107c_26,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_27,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_28,2.0,0.15
http://dl-learner.org/carcinogenesis#d107c_29,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_3,2.0,-0.1
http://dl-learner.org/carcinogenesis#d107c_30,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_31,2.0,-0.1
http://dl-learner.org/carcinogenesis#d107c_32,2.0,0.15
http://dl-learner.org/carcinogenesis#d107c_33,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_34,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_35,2.0,-0.1
http://dl-learner.org/carcinogenesis#d107c_36,2.0,-0.1
http://dl-learner.org/carcinogenesis#d107c_37,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_38,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_39,2.0,0.15
http://dl-learner.org/carcinogenesis#d107c_4,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_40,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_41,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_42,2.0,0.15
http://dl-learner.org/carcinogenesis#d107c_43,2.0,-0.1
http://dl-learner.org/carcinogenesis#d107c_44,2.0,-0.1
http://dl-learner.org/carcinogenesis#d107c_45,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_46,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_47,2.0,-0.15
http://dl-learner.org/carcinogenesis#d107c_48,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_49,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_5,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_50,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_51,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_52,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_53,2.0,-0.2
http://dl-learner.org/carcinogenesis#d107c_54,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_55,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_56,2.0,-0.2
http://dl-learner.org/carcinogenesis#d107c_57,2.0,-0.2
http://dl-learner.org/carcinogenesis#d107c_58,2.0,-0.2
http://dl-learner.org/carcinogenesis#d107c_59,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_6,2.0,0.4
http://dl-learner.org/carcinogenesis#d107c_60,2.0,-0.2
http://dl-learner.org/carcinogenesis#d107c_61,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_62,2.0,-0.2
http://dl-learner.org/carcinogenesis#d107c_63,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_64,2.0,-0.2
http://dl-learner.org/carcinogenesis#d107c_65,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_66,2.0,-0.2
http://dl-learner.org/carcinogenesis#d107c_67,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_68,2.0,-0.2
http://dl-learner.org/carcinogenesis#d107c_69,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_7,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_70,2.0,-0.2
http://dl-learner.org/carcinogenesis#d107c_71,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_8,2.0,0.05
http://dl-learner.org/carcinogenesis#d107c_9,2.0,-0.1
http://dl-learner.org/carcinogenesis#d107d_1,2.0,-0.277
http://dl-learner.org/carcinogenesis#d107d_10,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_11,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_12,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_13,2.0,-0.066
http://dl-learner.org/carcinogenesis#d107d_14,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_15,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_16,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_17,2.0,0.523
http://dl-learner.org/carcinogenesis#d107d_18,2.0,-0.066
http://dl-learner.org/carcinogenesis#d107d_19,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_2,2.0,-0.276
http://dl-learner.org/carcinogenesis#d107d_20,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_21,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_22,2.0,-0.066
http://dl-learner.org/carcinogenesis#d107d_23,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_24,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_25,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_26,2.0,-0.066
http://dl-learner.org/carcinogenesis#d107d_27,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_28,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_29,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_3,2.0,-0.276
http://dl-learner.org/carcinogenesis#d107d_30,2.0,-0.066
http://dl-learner.org/carcinogenesis#d107d_31,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_32,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_33,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_34,2.0,0.523
http://dl-learner.org/carcinogenesis#d107d_35,2.0,-0.066
http://dl-learner.org/carcinogenesis#d107d_36,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_37,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_38,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_39,2.0,-0.066
http://dl-learner.org/carcinogenesis#d107d_4,2.0,-0.277
http://dl-learner.org/carcinogenesis#d107d_40,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_41,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_42,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_43,2.0,0.124
http://dl-learner.org/carcinogenesis#d107d_44,2.0,0.124
http://dl-learner.org/carcinogenesis#d107d_45,2.0,0.124
http://dl-learner.org/carcinogenesis#d107d_46,2.0,-0.126
http://dl-learner.org/carcinogenesis#d107d_47,2.0,-0.006
http://dl-learner.org/carcinogenesis#d107d_48,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_49,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_5,2.0,-0.276
http://dl-learner.org/carcinogenesis#d107d_50,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_51,2.0,0.124
http://dl-learner.org/carcinogenesis#d107d_52,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_53,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_54,2.0,-0.176
http://dl-learner.org/carcinogenesis#d107d_55,2.0,-0.176
http://dl-learner.org/carcinogenesis#d107d_56,2.0,-0.176
http://dl-learner.org/carcinogenesis#d107d_57,2.0,-0.176
http://dl-learner.org/carcinogenesis#d107d_58,2.0,-0.176
http://dl-learner.org/carcinogenesis#d107d_59,2.0,-0.176
http://dl-learner.org/carcinogenesis#d107d_6,2.0,-0.076
http://dl-learner.org/carcinogenesis#d107d_60,2.0,-0.176
http://dl-learner.org/carcinogenesis#d107d_61,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_62,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_63,2.0,-0.176
http://dl-learner.org/carcinogenesis#d107d_64,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_65,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_66,2.0,-0.176
http://dl-learner.org/carcinogenesis#d107d_67,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_68,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_69,2.0,-0.176
http://dl-learner.org/carcinogenesis#d107d_7,2.0,-0.276
http://dl-learner.org/carcinogenesis#d107d_70,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_71,2.0,0.074
http://dl-learner.org/carcinogenesis#d107d_8,2.0,-0.126
http://dl-learner.org/carcinogenesis#d107d_9,2.0,-0.066
http://dl-learner.org/carcinogenesis#d108_1,2.0,-0.086
http://dl-learner.org/carcinogenesis#d108_10,2.0,0.174
http://dl-learner.org/carcinogenesis#d108_11,2.0,-0.086
http://dl-learner.org/carcinogenesis#d108_12,2.0,-0.086
http://dl-learner.org/carcinogenesis#d108_13,2.0,-0.086
http://dl-learner.org/carcinogenesis#d108_14,2.0,-0.086
http://dl-learner.org/carcinogenesis#d108_15,2.0,-0.086
http://dl-learner.org/carcinogenesis#d108_16,2.0,-0.086
http://dl-learner.org/carcinogenesis#d108_17,2.0,0.173
http://dl-learner.org/carcinogenesis#d108_18,2.0,0.173
http://dl-learner.org/carcinogenesis#d108_19,2.0,0.174
http://dl-learner.org/carcinogenesis#d108_2,2.0,-0.086
http://dl-learner.org/carcinogenesis#d108_20,2.0,0.174
http://dl-learner.org/carcinogenesis#d108_21,2.0,0.044
http://dl-learner.org/carcinogenesis#d108_22,2.0,-0.607
http://dl-learner.org/carcinogenesis#d108_23,2.0,0.543
http://dl-learner.org/carcinogenesis#d108_24,2.0,-0.156
http://dl-learner.org/carcinogenesis#d108_25,2.0,-0.156
http://dl-learner.org/carcinogenesis#d108_26,2.0,-0.156
http://dl-learner.org/carcinogenesis#d108_27,2.0,-0.156
http://dl-learner.org/carcinogenesis#d108_28,2.0,-0.156
http://dl-learner.org/carcinogenesis#d108_29,2.0,0.443
http://dl-learner.org/carcinogenesis#d108_3,2.0,-0.086
http://dl-learner.org/carcinogenesis#d108_4,2.0,-0.086
http://dl-learner.org/carcinogenesis#d108_5,2.0,-0.086
http://dl-learner.org/carcinogenesis#d108_6,2.0,-0.086
http://dl-learner.org/carcinogenesis#d108_7,2.0,0.174
http://dl-learner.org/carcinogenesis#d108_8,2.0,0.174
http://dl-learner.org/carcinogenesis#d108_9,2.0,0.173
http://dl-learner.org/carcinogenesis#d109_1,2.0,0.022
http://dl-learner.org/carcinogenesis#d109_10,2.0,0.022
http://dl-learner.org/carcinogenesis#d109_11,2.0,-0.108
http://dl-learner.org/carcinogenesis#d109_12,2.0,0.801
http://dl-learner.org/carcinogenesis#d109_13,2.0,-0.649
http://dl-learner.org/carcinogenesis#d109_14,2.0,-0.179
http://dl-learner.org/carcinogenesis#d109_15,2.0,0.371
http://dl-learner.org/carcinogenesis#d109_16,2.0,-0.279
http://dl-learner.org/carcinogenesis#d109_17,2.0,-0.589
http://dl-learner.org/carcinogenesis#d109_18,2.0,-0.229
http://dl-learner.org/carcinogenesis#d109_19,2.0,-0.229
http://dl-learner.org/carcinogenesis#d109_2,2.0,-0.108
http://dl-learner.org/carcinogenesis#d109_20,2.0,-0.379
http://dl-learner.org/carcinogenesis#d109_21,2.0,0.022
http://dl-learner.org/carcinogenesis#d109_22,2.0,0.152
http://dl-learner.org/carcinogenesis#d109_23,2.0,0.152
http://dl-learner.org/carcinogenesis#d109_24,2.0,0.271
http://dl-learner.org/carcinogenesis#d109_25,2.0,0.171
http://dl-learner.org/carcinogenesis#d109_26,2.0,0.171
http://dl-learner.org/carcinogenesis#d109_27,2.0,0.321
http://dl-learner.org/carcinogenesis#d109_28,2.0,0.072
http://dl-learner.org/carcinogenesis#d109_29,2.0,0.072
http://dl-learner.org/carcinogenesis#d109_3,2.0,-0.108
http://dl-learner.org/carcinogenesis#d109_30,2.0,0.152
http://dl-learner.org/carcinogenesis#d109_31,2.0,0.152
http://dl-learner.org/carcinogenesis#d109_32,2.0,0.152
http://dl-learner.org/carcinogenesis#d109_4,2.0,-0.108
http://dl-learner.org/carcinogenesis#d109_5,2.0,-0.008
http://dl-learner.org/carcinogenesis#d109_6,2.0,-0.108
http://dl-learner.org/carcinogenesis#d109_7,2.0,-0.108
http://dl-learner.org/carcinogenesis#d109_8,2.0,-0.108
http://dl-learner.org/carcinogenesis#d109_9,2.0,0.221
http://dl-learner.org/carcinogenesis#d10_1,2.0,-0.042
http://dl-learner.org/carcinogenesis#d10_10,2.0,0.218
http://dl-learner.org/carcinogenesis#d10_11,2.0,0.218
http://dl-learner.org/carcinogenesis#d10_12,2.0,-0.313
http://dl-learner.org/carcinogenesis#d10_13,2.0,-0.313
http://dl-learner.org/carcinogenesis#d10_14,2.0,-0.563
http://dl-learner.org/carcinogenesis#d10_15,2.0,0.487
http://dl-learner.org/carcinogenesis#d10_16,2.0,-0.464
http://dl-learner.org/carcinogenesis#d10_2,2.0,-0.042
http://dl-learner.org/carcinogenesis#d10_3,2.0,-0.042
http://dl-learner.org/carcinogenesis#d10_4,2.0,-0.042
http://dl-learner.org/carcinogenesis#d10_5,2.0,0.287
http://dl-learner.org/carcinogenesis#d10_6,2.0,-0.042
http://dl-learner.org/carcinogenesis#d10_7,2.0,0.218
http://dl-learner.org/carcinogenesis#d10_8,2.0,0.217
http://dl-learner.org/carcinogenesis#d10_9,2.0,0.218
http://dl-learner.org/carcinogenesis#d110_1,2.0,-0.102
http://dl-learner.org/carcinogenesis#d110_10,2.0,0.157
http://dl-learner.org/carcinogenesis#d110_11,2.0,0.157
http://dl-learner.org/carcinogenesis#d110_12,2.0,-0.173
http://dl-learner.org/carcinogenesis#d110_2,2.0,-0.102
http://dl-learner.org/carcinogenesis#d110_3,2.0,-0.102
http://dl-learner.org/carcinogenesis#d110_4,2.0,-0.102
http://dl-learner.org/carcinogenesis#d110_5,2.0,-0.102
http://dl-learner.org/carcinogenesis#d110_6,2.0,-0.102
http://dl-learner.org/carcinogenesis#d110_7,2.0,0.157
http://dl-learner.org/carcinogenesis#d110_8,2.0,0.157
http://dl-learner.org/carcinogenesis#d110_9,2.0,0.157
http://dl-learner.org/carcinogenesis#d111_1,2.0,-0.112
http://dl-learner.org/carcinogenesis#d111_10,2.0,0.199
http://dl-learner.org/carcinogenesis#d111_11,2.0,-0.112
http://dl-learner.org/carcinogenesis#d111_12,2.0,-0.112
http://dl-learner.org/carcinogenesis#d111_13,2.0,-0.112
http://dl-learner.org/carcinogenesis#d111_14,2.0,-0.112
http://dl-learner.org/carcinogenesis#d111_15,2.0,0.198
http://dl-learner.org/carcinogenesis#d111_16,2.0,0.148
http://dl-learner.org/carcinogenesis#d111_17,2.0,0.148
http://dl-learner.org/carcinogenesis#d111_18,2.0,0.148
http://dl-learner.org/carcinogenesis#d111_19,2.0,-0.211
http://dl-learner.org/carcinogenesis#d111_2,2.0,-0.112
http://dl-learner.org/carcinogenesis#d111_20,2.0,-0.211
http://dl-learner.org/carcinogenesis#d111_21,2.0,-0.182
http://dl-learner.org/carcinogenesis#d111_22,2.0,-0.182
http://dl-learner.org/carcinogenesis#d111_3,2.0,0.198
http://dl-learner.org/carcinogenesis#d111_4,2.0,0.199
http://dl-learner.org/carcinogenesis#d111_5,2.0,-0.112
http://dl-learner.org/carcinogenesis#d111_6,2.0,-0.112
http://dl-learner.org/carcinogenesis#d111_7,2.0,0.148
http://dl-learner.org/carcinogenesis#d111_8,2.0,0.148
http://dl-learner.org/carcinogenesis#d111_9,2.0,0.148
http://dl-learner.org/carcinogenesis#d112_1,2.0,-0.047
http://dl-learner.org/carcinogenesis#d112_10,2.0,-0.047
http://dl-learner.org/carcinogenesis#d112_11,2.0,0.023
http://dl-learner.org/carcinogenesis#d112_12,2.0,0.023
http://dl-learner.org/carcinogenesis#d112_13,2.0,-0.318
http://dl-learner.org/carcinogenesis#d112_14,2.0,0.103
http://dl-learner.org/carcinogenesis#d112_15,2.0,0.103
http://dl-learner.org/carcinogenesis#d112_16,2.0,-0.047
http://dl-learner.org/carcinogenesis#d112_17,2.0,0.103
http://dl-learner.org/carcinogenesis#d112_18,2.0,0.103
http://dl-learner.org/carcinogenesis#d112_19,2.0,0.452
http://dl-learner.org/carcinogenesis#d112_2,2.0,-0.047
http://dl-learner.org/carcinogenesis#d112_20,2.0,-0.148
http://dl-learner.org/carcinogenesis#d112_21,2.0,-0.147
http://dl-learner.org/carcinogenesis#d112_22,2.0,-0.147
http://dl-learner.org/carcinogenesis#d112_23,2.0,-0.148
http://dl-learner.org/carcinogenesis#d112_24,2.0,0.103
http://dl-learner.org/carcinogenesis#d112_25,2.0,-0.147
http://dl-learner.org/carcinogenesis#d112_26,2.0,0.103
http://dl-learner.org/carcinogenesis#d112_27,2.0,-0.148
http://dl-learner.org/carcinogenesis#d112_28,2.0,0.103
http://dl-learner.org/carcinogenesis#d112_29,2.0,0.103
http://dl-learner.org/carcinogenesis#d112_3,2.0,-0.097
http://dl-learner.org/carcinogenesis#d112_4,2.0,-0.097
http://dl-learner.org/carcinogenesis#d112_5,2.0,-0.047
http://dl-learner.org/carcinogenesis#d112_6,2.0,-0.047
http://dl-learner.org/carcinogenesis#d112_7,2.0,-0.047
http://dl-learner.org/carcinogenesis#d112_8,2.0,0.202
http://dl-learner.org/carcinogenesis#d112_9,2.0,0.202
http://dl-learner.org/carcinogenesis#d113_1,2.0,0.0
http://dl-learner.org/carcinogenesis#d113_10,2.0,0.131
http://dl-learner.org/carcinogenesis#d113_11,2.0,-0.129
http://dl-learner.org/carcinogenesis#d113_12,2.0,-0.13
http://dl-learner.org/carcinogenesis#d113_13,2.0,-0.13
http://dl-learner.org/carcinogenesis#d113_14,2.0,0.0
http://dl-learner.org/carcinogenesis#d113_15,2.0,-0.13
http://dl-learner.org/carcinogenesis#d113_16,2.0,-0.13
http://dl-learner.org/carcinogenesis#d113_17,2.0,0.13
http://dl-learner.org/carcinogenesis#d113_18,2.0,0.13
http://dl-learner.org/carcinogenesis#d113_19,2.0,0.13
http://dl-learner.org/carcinogenesis#d113_2,2.0,-0.13
http://dl-learner.org/carcinogenesis#d113_20,2.0,0.13
http://dl-learner.org/carcinogenesis#d113_21,2.0,0.0
http://dl-learner.org/carcinogenesis#d113_22,2.0,-0.1
http://dl-learner.org/carcinogenesis#d113_23,2.0,-0.1
http://dl-learner.org/carcinogenesis#d113_24,2.0,0.05
http://dl-learner.org/carcinogenesis#d113_25,2.0,0.05
http://dl-learner.org/carcinogenesis#d113_26,2.0,0.05
http://dl-learner.org/carcinogenesis#d113_27,2.0,0.05
http://dl-learner.org/carcinogenesis#d113_28,2.0,0.05
http://dl-learner.org/carcinogenesis#d113_29,2.0,-0.1
http://dl-learner.org/carcinogenesis#d113_3,2.0,-0.13
http://dl-learner.org/carcinogenesis#d113_30,2.0,-0.1
http://dl-learner.org/carcinogenesis#d113_31,2.0,0.05
http://dl-learner.org/carcinogenesis#d113_32,2.0,0.05
http://dl-learner.org/carcinogenesis#d113_33,2.0,0.05
http://dl-learner.org/carcinogenesis#d113_34,2.0,0.05
http://dl-learner.org/carcinogenesis#d113_35,2.0,0.05
http://dl-learner.org/carcinogenesis#d113_36,2.0,0.401
http://dl-learner.org/carcinogenesis#d113_37,2.0,0.1
http://dl-learner.org/carcinogenesis#d113_38,2.0,-0.199
http://dl-learner.org/carcinogenesis#d113_39,2.0,-0.199
http://dl-learner.org/carcinogenesis#d113_4,2.0,-0.13
http://dl-learner.org/carcinogenesis#d113_40,2.0,0.05
http://dl-learner.org/carcinogenesis#d113_5,2.0,-0.129
http://dl-learner.org/carcinogenesis#d113_6,2.0,-0.129
http://dl-learner.org/carcinogenesis#d113_7,2.0,0.131
http://dl-learner.org/carcinogenesis#d113_8,2.0,0.131
http://dl-learner.org/carcinogenesis#d113_9,2.0,0.131
http://dl-learner.org/carcinogenesis#d114_1,2.0,-0.03
http://dl-learner.org/carcinogenesis#d114_10,2.0,0.88
http://dl-learner.org/carcinogenesis#d114_11,2.0,-0.57
http://dl-learner.org/carcinogenesis#d114_12,2.0,-0.1
http://dl-learner.org/carcinogenesis#d114_13,2.0,0.43
http://dl-learner.org/carcinogenesis#d114_14,2.0,0.43
http://dl-learner.org/carcinogenesis#d114_15,2.0,-0.51
http://dl-learner.org/carcinogenesis#d114_16,2.0,0.35
http://dl-learner.org/carcinogenesis#d114_2,2.0,-0.44
http://dl-learner.org/carcinogenesis#d114_3,2.0,0.2
http://dl-learner.org/carcinogenesis#d114_4,2.0,-0.03
http://dl-learner.org/carcinogenesis#d114_5,2.0,0.3
http://dl-learner.org/carcinogenesis#d114_6,2.0,-0.03
