,DSSTox_CID,DSSTox_Generic_SID,DSSTox_RID,LOG_ER_RBA,STRUCTURE_MolecularWeight
http://dl-learner.org/nctrer/120,1094.0,21094.0,22427.0,-10000.0,200.2365
http://dl-learner.org/nctrer/121,2428.0,22428.0,22428.0,-10000.0,360.406
http://dl-learner.org/nctrer/122,2429.0,22429.0,22429.0,-3.05,240.254
http://dl-learner.org/nctrer/123,2430.0,22430.0,22430.0,-3.73,240.258
http://dl-learner.org/nctrer/124,1232.0,21232.0,22431.0,-10000.0,604.473
http://dl-learner.org/nctrer/125,2432.0,22432.0,22432.0,-10000.0,228.2879
http://dl-learner.org/nctrer/126,247.0,20247.0,22433.0,-10000.0,201.2212
http://dl-learner.org/nctrer/127,249.0,20249.0,22434.0,-10000.0,221.2524
http://dl-learner.org/nctrer/128,1824.0,21824.0,22435.0,-2.45,269.1233
http://dl-learner.org/nctrer/129,2436.0,22436.0,22436.0,-3.13,286.3224
http://dl-learner.org/nctrer/13,2320.0,22320.0,22320.0,-2.78,256.341
http://dl-learner.org/nctrer/130,2437.0,22437.0,22437.0,-1.51,302.3649
http://dl-learner.org/nctrer/131,1151.0,21151.0,22438.0,-10000.0,170.2072
http://dl-learner.org/nctrer/132,2439.0,22439.0,22439.0,-3.67,320.3386
http://dl-learner.org/nctrer/133,1152.0,21152.0,22440.0,-3.04,170.2072
http://dl-learner.org/nctrer/134,2441.0,22441.0,22441.0,1.18,387.5206
http://dl-learner.org/nctrer/135,2442.0,22442.0,22442.0,-1.07,242.3129
http://dl-learner.org/nctrer/136,1367.0,21367.0,22443.0,0.14,598.0913
http://dl-learner.org/nctrer/137,1771.0,21771.0,22444.0,-3.26,164.2441
http://dl-learner.org/nctrer/138,2445.0,22445.0,22445.0,-3.02,200.2366
http://dl-learner.org/nctrer/139,2446.0,22446.0,22446.0,-10000.0,200.2366
http://dl-learner.org/nctrer/14,869.0,20869.0,22321.0,-10000.0,254.37
http://dl-learner.org/nctrer/140,1977.0,21977.0,22447.0,-4.17,122.1644
http://dl-learner.org/nctrer/141,2448.0,22448.0,22448.0,-10000.0,283.7937
http://dl-learner.org/nctrer/142,1124.0,21124.0,22449.0,-10000.0,94.1112
http://dl-learner.org/nctrer/143,2450.0,22450.0,22450.0,-10000.0,304.2556
http://dl-learner.org/nctrer/144,2451.0,22451.0,22451.0,-2.35,270.241
http://dl-learner.org/nctrer/145,2452.0,22452.0,22452.0,-10000.0,270.241
http://dl-learner.org/nctrer/146,2453.0,22453.0,22453.0,-2.55,224.2546
http://dl-learner.org/nctrer/147,1956.0,21956.0,22454.0,-10000.0,390.5561
http://dl-learner.org/nctrer/148,2455.0,22455.0,22455.0,-10000.0,194.184
http://dl-learner.org/nctrer/149,1717.0,21717.0,22456.0,-3.38,142.5847
http://dl-learner.org/nctrer/15,2322.0,22322.0,22322.0,-10000.0,290.272
http://dl-learner.org/nctrer/150,1869.0,21869.0,22457.0,-4.5,108.1378
http://dl-learner.org/nctrer/151,2458.0,22458.0,22458.0,-2.43,224.2546
http://dl-learner.org/nctrer/152,2132.0,22459.0,22459.0,-10000.0,206.2824
http://dl-learner.org/nctrer/153,2460.0,22460.0,22460.0,-2.69,198.264
http://dl-learner.org/nctrer/154,2461.0,22461.0,22461.0,-1.44,214.2634
http://dl-learner.org/nctrer/155,2462.0,22462.0,22462.0,-3.44,170.2104
http://dl-learner.org/nctrer/156,617.0,20617.0,22463.0,-10000.0,164.2011
http://dl-learner.org/nctrer/157,2464.0,22464.0,22464.0,-5000.0,196.2445
http://dl-learner.org/nctrer/158,2465.0,22465.0,22465.0,-0.55,212.2439
http://dl-learner.org/nctrer/159,2466.0,22466.0,22466.0,-1.26,256.2574
http://dl-learner.org/nctrer/16,2048.0,22048.0,22323.0,-10000.0,222.2387
http://dl-learner.org/nctrer/160,2467.0,22467.0,22467.0,-0.82,254.2416
http://dl-learner.org/nctrer/161,2468.0,22468.0,22468.0,1.16,240.297
http://dl-learner.org/nctrer/162,2469.0,22469.0,22469.0,1.31,282.3816
http://dl-learner.org/nctrer/163,2470.0,22470.0,22470.0,-0.3,256.3826
http://dl-learner.org/nctrer/164,2471.0,22471.0,22471.0,1.14,256.3826
http://dl-learner.org/nctrer/165,2472.0,22472.0,22472.0,-10000.0,134.2182
http://dl-learner.org/nctrer/166,384.0,20384.0,22473.0,-10000.0,392.4611
http://dl-learner.org/nctrer/167,2474.0,22474.0,22474.0,-10000.0,346.4605
http://dl-learner.org/nctrer/168,232.0,20232.0,22475.0,-10000.0,194.1906
http://dl-learner.org/nctrer/169,1952.0,21952.0,22476.0,-10000.0,326.2831
http://dl-learner.org/nctrer/17,2324.0,22324.0,22324.0,-10000.0,432.383
http://dl-learner.org/nctrer/170,2477.0,22477.0,22477.0,-10000.0,216.2818
http://dl-learner.org/nctrer/171,2478.0,22478.0,22478.0,-10000.0,580.5346
http://dl-learner.org/nctrer/172,2479.0,22479.0,22479.0,-5000.0,122.1644
http://dl-learner.org/nctrer/173,2480.0,22480.0,22480.0,-3.87,122.1644
http://dl-learner.org/nctrer/174,2481.0,22481.0,22481.0,-10000.0,414.7067
http://dl-learner.org/nctrer/175,2482.0,22482.0,22482.0,-0.89,331.6255
http://dl-learner.org/nctrer/176,2483.0,22483.0,22483.0,-2.88,208.2967
http://dl-learner.org/nctrer/177,2484.0,22484.0,22484.0,-0.63,295.1606
http://dl-learner.org/nctrer/178,2485.0,22485.0,22485.0,0.42,281.134
http://dl-learner.org/nctrer/179,606.0,20606.0,22486.0,-10000.0,370.5665
http://dl-learner.org/nctrer/18,2325.0,22325.0,22325.0,-0.6,317.5949
http://dl-learner.org/nctrer/180,2487.0,22487.0,22487.0,-2.65,240.254
http://dl-learner.org/nctrer/181,2488.0,22488.0,22488.0,-10000.0,290.4403
http://dl-learner.org/nctrer/182,2489.0,22489.0,22489.0,-10000.0,148.161
http://dl-learner.org/nctrer/183,152.0,20152.0,22490.0,-10000.0,108.1378
http://dl-learner.org/nctrer/184,1597.0,21597.0,22491.0,-10000.0,114.1855
http://dl-learner.org/nctrer/185,1931.0,21931.0,22492.0,-10000.0,102.1748
http://dl-learner.org/nctrer/186,2247.0,22247.0,22493.0,-10000.0,222.3663
http://dl-learner.org/nctrer/187,2494.0,22494.0,22494.0,-1.25,296.4084
http://dl-learner.org/nctrer/188,2495.0,22495.0,22495.0,-0.29,270.3706
http://dl-learner.org/nctrer/189,2496.0,22496.0,22496.0,-2.74,298.3762
http://dl-learner.org/nctrer/19,2326.0,22326.0,22326.0,-4.09,610.5244
http://dl-learner.org/nctrer/190,2497.0,22497.0,22497.0,0.97,284.3927
http://dl-learner.org/nctrer/191,2498.0,22498.0,22498.0,-2.2,254.3712
http://dl-learner.org/nctrer/192,2499.0,22499.0,22499.0,-1.65,302.4079
http://dl-learner.org/nctrer/193,2500.0,22500.0,22500.0,-1.48,316.4345
http://dl-learner.org/nctrer/194,2501.0,22501.0,22501.0,0.6,268.398
http://dl-learner.org/nctrer/195,2502.0,22502.0,22502.0,-0.68,274.2294
http://dl-learner.org/nctrer/196,2503.0,22503.0,22503.0,1.19,302.3649
http://dl-learner.org/nctrer/197,2504.0,22504.0,22504.0,0.95,298.4242
http://dl-learner.org/nctrer/198,2505.0,22505.0,22505.0,-0.05,296.322
http://dl-learner.org/nctrer/199,2506.0,22506.0,22506.0,-0.02,272.3432
http://dl-learner.org/nctrer/2,2309.0,22309.0,22309.0,-0.82,242.2699
http://dl-learner.org/nctrer/20,2327.0,22327.0,22327.0,-3.41,238.2381
http://dl-learner.org/nctrer/200,717.0,20717.0,22507.0,-3.44,200.2332
http://dl-learner.org/nctrer/201,2508.0,22508.0,22508.0,-1.73,262.4302
http://dl-learner.org/nctrer/202,209.0,20209.0,22509.0,-3.07,194.2271
http://dl-learner.org/nctrer/203,2510.0,22510.0,22510.0,-3.67,142.5829
http://dl-learner.org/nctrer/204,2511.0,22511.0,22511.0,-3.61,223.0979
http://dl-learner.org/nctrer/205,2512.0,22512.0,22512.0,-3.66,142.5847
http://dl-learner.org/nctrer/206,2513.0,22513.0,22513.0,-10000.0,291.988
http://dl-learner.org/nctrer/207,2514.0,22514.0,22514.0,-5000.0,291.9914
http://dl-learner.org/nctrer/208,2515.0,22515.0,22515.0,-10000.0,223.0979
http://dl-learner.org/nctrer/209,2516.0,22516.0,22516.0,-0.15,288.3858
http://dl-learner.org/nctrer/21,2328.0,22328.0,22328.0,-10000.0,238.2381
http://dl-learner.org/nctrer/210,563.0,21069.0,22517.0,-0.67,298.4192
http://dl-learner.org/nctrer/211,2518.0,22518.0,22518.0,-5000.0,309.1872
http://dl-learner.org/nctrer/212,2519.0,22519.0,22519.0,-10000.0,441.3975
http://dl-learner.org/nctrer/213,2520.0,22520.0,22520.0,-10000.0,176.2146
http://dl-learner.org/nctrer/214,2521.0,22521.0,22521.0,-10000.0,418.6093
http://dl-learner.org/nctrer/215,2522.0,22522.0,22522.0,-10000.0,278.3435
http://dl-learner.org/nctrer/216,2523.0,22523.0,22523.0,-2.09,236.3102
http://dl-learner.org/nctrer/217,2524.0,22524.0,22524.0,-10000.0,258.2295
http://dl-learner.org/nctrer/218,2525.0,22525.0,22525.0,-1.74,250.337
http://dl-learner.org/nctrer/219,2526.0,22526.0,22526.0,-2.54,228.247
http://dl-learner.org/nctrer/22,2329.0,22329.0,22329.0,-10000.0,288.4244
http://dl-learner.org/nctrer/220,2527.0,22527.0,22527.0,-3.22,180.2005
http://dl-learner.org/nctrer/221,2528.0,22528.0,22528.0,-3.22,166.1739
http://dl-learner.org/nctrer/222,2529.0,22529.0,22529.0,-3.44,152.1473
http://dl-learner.org/nctrer/223,2530.0,22530.0,22530.0,-2.74,284.2678
http://dl-learner.org/nctrer/224,2531.0,22531.0,22531.0,-2.82,208.2552
http://dl-learner.org/nctrer/225,2532.0,22532.0,22532.0,-0.19,322.396
http://dl-learner.org/nctrer/226,2533.0,22533.0,22533.0,-0.69,320.3802
http://dl-learner.org/nctrer/227,647.0,20647.0,22534.0,-10000.0,96.0841
http://dl-learner.org/nctrer/228,616.0,20616.0,22535.0,-10000.0,154.2493
http://dl-learner.org/nctrer/229,2536.0,22536.0,22536.0,-2.3,212.2908
http://dl-learner.org/nctrer/23,40.0,20040.0,22330.0,-10000.0,364.9099
http://dl-learner.org/nctrer/230,2537.0,22537.0,22537.0,-3.16,286.5163
http://dl-learner.org/nctrer/231,2538.0,22538.0,22538.0,-10000.0,314.5694
http://dl-learner.org/nctrer/232,2539.0,22539.0,22539.0,-0.35,270.241
http://dl-learner.org/nctrer/24,2331.0,22331.0,22331.0,-3.54,150.2176
http://dl-learner.org/nctrer/25,2332.0,22332.0,22332.0,-3.37,150.2176
http://dl-learner.org/nctrer/26,2333.0,22333.0,22333.0,-10000.0,134.2182
http://dl-learner.org/nctrer/27,1780.0,21780.0,22334.0,-10000.0,222.2372
http://dl-learner.org/nctrer/28,827.0,20827.0,22335.0,-10000.0,345.6481
http://dl-learner.org/nctrer/29,267.0,20267.0,22336.0,-10000.0,409.7786
http://dl-learner.org/nctrer/3,2310.0,22310.0,22310.0,-1.65,254.2375
http://dl-learner.org/nctrer/30,1388.0,21388.0,22337.0,-10000.0,255.4825
http://dl-learner.org/nctrer/31,895.0,20895.0,22338.0,-10000.0,545.543
http://dl-learner.org/nctrer/32,679.0,20679.0,22339.0,-10000.0,373.3177
http://dl-learner.org/nctrer/33,372.0,20372.0,22340.0,-5000.0,320.0412
http://dl-learner.org/nctrer/34,2341.0,22341.0,22341.0,-10000.0,225.2908
http://dl-learner.org/nctrer/35,1268.0,21268.0,22342.0,-10000.0,201.6567
http://dl-learner.org/nctrer/36,2343.0,22343.0,22343.0,-10000.0,268.2684
http://dl-learner.org/nctrer/37,2344.0,22344.0,22344.0,-2.78,240.258
http://dl-learner.org/nctrer/38,2345.0,22345.0,22345.0,-2.85,354.4863
http://dl-learner.org/nctrer/39,682.0,20682.0,22346.0,-10000.0,284.7822
http://dl-learner.org/nctrer/4,2311.0,22311.0,22311.0,-2.98,268.2684
http://dl-learner.org/nctrer/40,373.0,20373.0,22347.0,-10000.0,320.0412
http://dl-learner.org/nctrer/41,374.0,20374.0,22348.0,-10000.0,318.0253
http://dl-learner.org/nctrer/42,375.0,20375.0,22349.0,-10000.0,354.4863
http://dl-learner.org/nctrer/43,2350.0,22350.0,22350.0,-0.64,307.9908
http://dl-learner.org/nctrer/44,2351.0,22351.0,22351.0,-1.44,239.1006
http://dl-learner.org/nctrer/45,2352.0,22352.0,22352.0,-3.25,323.9868
http://dl-learner.org/nctrer/46,2353.0,22353.0,22353.0,-2.77,204.6555
http://dl-learner.org/nctrer/47,2354.0,22354.0,22354.0,-2.18,204.6555
http://dl-learner.org/nctrer/48,221.0,20221.0,22355.0,-3.61,150.2176
http://dl-learner.org/nctrer/49,112.0,20112.0,22356.0,-10000.0,215.6833
http://dl-learner.org/nctrer/5,2312.0,22312.0,22312.0,-2.31,206.3238
http://dl-learner.org/nctrer/50,560.0,22357.0,22357.0,-10000.0,406.9226
http://dl-learner.org/nctrer/51,770.0,20770.0,22358.0,-1.89,490.6364
http://dl-learner.org/nctrer/52,686.0,20686.0,22359.0,-10000.0,290.8298
http://dl-learner.org/nctrer/53,2360.0,22360.0,22360.0,-1.82,206.3272
http://dl-learner.org/nctrer/54,2361.0,22361.0,22361.0,-10000.0,286.1108
http://dl-learner.org/nctrer/55,465.0,20465.0,22362.0,2.6,268.3502
http://dl-learner.org/nctrer/56,182.0,20182.0,22363.0,-2.11,228.2902
http://dl-learner.org/nctrer/57,2364.0,22364.0,22364.0,-2.89,290.4403
http://dl-learner.org/nctrer/58,573.0,20573.0,22365.0,2.0,272.382
http://dl-learner.org/nctrer/59,2366.0,22366.0,22366.0,0.99,288.3814
http://dl-learner.org/nctrer/6,2313.0,22313.0,22313.0,-5000.0,318.0253
http://dl-learner.org/nctrer/60,2367.0,22367.0,22367.0,0.86,270.3661
http://dl-learner.org/nctrer/61,576.0,20576.0,22368.0,2.28,296.4034
http://dl-learner.org/nctrer/62,2369.0,22369.0,22369.0,1.57,606.7708
http://dl-learner.org/nctrer/63,2370.0,22370.0,22370.0,-10000.0,314.4617
http://dl-learner.org/nctrer/64,2371.0,22371.0,22371.0,-10000.0,288.4244
http://dl-learner.org/nctrer/65,2372.0,22372.0,22372.0,1.47,288.3814
http://dl-learner.org/nctrer/66,1857.0,21857.0,22373.0,-1.53,220.354
http://dl-learner.org/nctrer/67,2374.0,22374.0,22374.0,1.82,288.3814
http://dl-learner.org/nctrer/68,2375.0,22375.0,22375.0,1.14,326.4293
http://dl-learner.org/nctrer/69,2376.0,22376.0,22376.0,1.16,525.8134
http://dl-learner.org/nctrer/7,607.0,20607.0,22314.0,-5000.0,390.5561
http://dl-learner.org/nctrer/70,2377.0,22377.0,22377.0,0.49,272.382
http://dl-learner.org/nctrer/71,2378.0,22378.0,22378.0,-2.67,292.4562
http://dl-learner.org/nctrer/72,2379.0,22379.0,22379.0,-0.92,292.4562
http://dl-learner.org/nctrer/73,205.0,20205.0,22380.0,-5000.0,312.3597
http://dl-learner.org/nctrer/74,2381.0,22381.0,22381.0,2.48,270.3706
http://dl-learner.org/nctrer/75,2382.0,22382.0,22382.0,1.57,266.339
http://dl-learner.org/nctrer/76,1301.0,21301.0,22383.0,0.21,563.6381
http://dl-learner.org/nctrer/77,2384.0,22384.0,22384.0,2.24,387.514
http://dl-learner.org/nctrer/78,337.0,20337.0,22385.0,-0.14,598.0913
http://dl-learner.org/nctrer/79,2386.0,22386.0,22386.0,-0.14,425.5619
http://dl-learner.org/nctrer/8,2315.0,22315.0,22315.0,1.48,322.396
http://dl-learner.org/nctrer/80,2387.0,22387.0,22387.0,-1.5,290.3127
http://dl-learner.org/nctrer/81,1781.0,21781.0,22388.0,-10000.0,278.3435
http://dl-learner.org/nctrer/82,2389.0,22389.0,22389.0,-3.05,270.241
http://dl-learner.org/nctrer/83,814.0,20814.0,22390.0,0.35,310.4352
http://dl-learner.org/nctrer/84,2391.0,22391.0,22391.0,-1.55,270.2369
http://dl-learner.org/nctrer/85,2392.0,22392.0,22392.0,-2.13,272.2568
http://dl-learner.org/nctrer/86,2393.0,22393.0,22393.0,-1.16,274.2726
http://dl-learner.org/nctrer/87,2394.0,22394.0,22394.0,-2.37,284.2678
http://dl-learner.org/nctrer/88,2395.0,22395.0,22395.0,0.32,320.3802
http://dl-learner.org/nctrer/89,2396.0,22396.0,22396.0,-10000.0,254.2416
http://dl-learner.org/nctrer/9,1218.0,21218.0,22316.0,-10000.0,302.2357
http://dl-learner.org/nctrer/90,768.0,20768.0,22397.0,-1.61,286.2363
http://dl-learner.org/nctrer/91,2398.0,22398.0,22398.0,-3.09,302.2398
http://dl-learner.org/nctrer/92,2399.0,22399.0,22399.0,-0.05,268.221
http://dl-learner.org/nctrer/93,2400.0,22400.0,22400.0,-2.75,318.2392
http://dl-learner.org/nctrer/94,2401.0,22401.0,22401.0,-10000.0,386.6535
http://dl-learner.org/nctrer/95,2402.0,22402.0,22402.0,1.63,320.3802
http://dl-learner.org/nctrer/96,2403.0,22403.0,22403.0,-10000.0,244.2427
http://dl-learner.org/nctrer/97,2404.0,22404.0,22404.0,-10000.0,214.2202
http://dl-learner.org/nctrer/98,2405.0,22405.0,22405.0,-10000.0,228.2433
http://dl-learner.org/nctrer/99,2406.0,22406.0,22406.0,-2.61,214.2167
http://dl-learner.org/nctrer/1/atom1,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom10,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom11,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom12,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom13,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom14,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom15,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom16,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom17,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom18,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom19,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom2,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom20,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom3,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom4,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom5,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom6,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom7,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom8,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/1/atom9,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom1,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom10,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom11,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom12,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom13,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom14,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom15,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom16,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom17,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom18,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom19,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom2,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom20,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom21,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom3,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom4,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom5,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom6,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom7,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom8,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/10/atom9,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom1,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom10,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom11,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom12,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom13,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom14,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom15,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom16,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom17,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom18,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom19,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom2,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom20,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom21,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom22,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom23,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom24,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom3,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom4,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom5,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom6,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom7,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom8,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/100/atom9,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom1,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom10,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom11,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom12,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom13,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom14,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom15,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom16,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom17,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom18,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom19,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom2,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom20,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom21,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom22,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom23,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom24,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom25,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom3,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom4,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom5,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom6,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom7,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom8,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/101/atom9,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/102/atom1,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/102/atom10,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/102/atom11,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/102/atom12,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/102/atom13,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/102/atom14,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/102/atom15,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/102/atom16,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/102/atom17,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/102/atom2,0.0,0.0,0.0,0.0,0.0
http://dl-learner.org/nctrer/102/atom3,0.0,0.0,0.0,0.0,0.0
