,label,act,logp,lumo,charge
http://dl-learner.org/mutagenesis#d134,2.0,4.25,4.73,-1.951,
http://dl-learner.org/mutagenesis#d135,2.0,-1.21,2.74,-1.562,
http://dl-learner.org/mutagenesis#d136,2.0,3.87,4.66,-1.685,
http://dl-learner.org/mutagenesis#d137,2.0,2.62,4.44,-2.263,
http://dl-learner.org/mutagenesis#d138,2.0,-0.41,1.77,-1.157,
http://dl-learner.org/mutagenesis#d139,2.0,-2.0,2.72,-1.019,
http://dl-learner.org/mutagenesis#d14,2.0,-1.1,1.77,-1.289,
http://dl-learner.org/mutagenesis#d140,2.0,0.9,2.52,-1.751,
http://dl-learner.org/mutagenesis#d141,2.0,-1.51,3.05,-1.228,
http://dl-learner.org/mutagenesis#d142,2.0,-0.53,6.68,-1.474,
http://dl-learner.org/mutagenesis#d143,2.0,-2.22,2.35,-1.046,
http://dl-learner.org/mutagenesis#d144,2.0,-1.54,2.9,-1.288,
http://dl-learner.org/mutagenesis#d145,2.0,0.25,2.68,-1.178,
http://dl-learner.org/mutagenesis#d146,2.0,0.19,2.68,-1.102,
http://dl-learner.org/mutagenesis#d147,2.0,-0.51,1.94,-0.937,
http://dl-learner.org/mutagenesis#d148,2.0,1.77,3.36,-2.158,
http://dl-learner.org/mutagenesis#d149,2.0,4.34,2.29,-2.87,
http://dl-learner.org/mutagenesis#d15,2.0,2.78,4.69,-1.698,
http://dl-learner.org/mutagenesis#d150,2.0,-1.61,-0.02,-0.995,
http://dl-learner.org/mutagenesis#d151,2.0,0.11,1.75,-1.411,
http://dl-learner.org/mutagenesis#d152,2.0,2.32,4.44,-2.191,
http://dl-learner.org/mutagenesis#d153,2.0,0.58,3.85,-1.151,
http://dl-learner.org/mutagenesis#d154,2.0,0.0,1.59,-1.362,
http://dl-learner.org/mutagenesis#d155,2.0,-1.89,1.72,-1.737,
http://dl-learner.org/mutagenesis#d156,2.0,-0.48,1.92,-0.854,
http://dl-learner.org/mutagenesis#d157,2.0,1.34,4.19,-1.623,
http://dl-learner.org/mutagenesis#d158,2.0,2.89,3.08,-1.34,
http://dl-learner.org/mutagenesis#d159,2.0,1.59,4.19,-1.742,
http://dl-learner.org/mutagenesis#d16,2.0,3.62,4.44,-2.172,
http://dl-learner.org/mutagenesis#d160,2.0,-1.32,2.78,-1.691,
http://dl-learner.org/mutagenesis#d161,2.0,1.99,5.61,-2.221,
http://dl-learner.org/mutagenesis#d162,2.0,2.85,3.0,-2.687,
http://dl-learner.org/mutagenesis#d163,2.0,4.58,4.44,-1.974,
http://dl-learner.org/mutagenesis#d164,2.0,5.04,4.44,-2.306,
http://dl-learner.org/mutagenesis#d165,2.0,4.05,4.69,-1.522,
http://dl-learner.org/mutagenesis#d166,2.0,4.22,4.42,-1.709,
http://dl-learner.org/mutagenesis#d167,2.0,5.06,4.44,-2.31,
http://dl-learner.org/mutagenesis#d168,2.0,-2.7,2.03,-1.112,
http://dl-learner.org/mutagenesis#d169,2.0,1.2,1.49,-2.17,
http://dl-learner.org/mutagenesis#d17,2.0,-3.0,0.87,-0.529,
http://dl-learner.org/mutagenesis#d170,2.0,0.87,2.52,-2.113,
http://dl-learner.org/mutagenesis#d171,2.0,2.66,3.0,-2.508,
http://dl-learner.org/mutagenesis#d172,2.0,0.66,2.06,-1.487,
http://dl-learner.org/mutagenesis#d173,2.0,2.6,3.26,-2.328,
http://dl-learner.org/mutagenesis#d174,2.0,5.02,4.44,-2.209,
http://dl-learner.org/mutagenesis#d175,2.0,-0.33,7.84,-1.616,
http://dl-learner.org/mutagenesis#d176,2.0,0.96,2.74,-1.304,
http://dl-learner.org/mutagenesis#d177,2.0,1.26,2.29,-2.614,
http://dl-learner.org/mutagenesis#d178,2.0,0.23,1.77,-1.213,
http://dl-learner.org/mutagenesis#d179,2.0,-1.42,2.73,-1.889,
http://dl-learner.org/mutagenesis#d18,2.0,2.13,3.06,-1.861,
http://dl-learner.org/mutagenesis#d180,2.0,4.33,6.07,-2.182,
http://dl-learner.org/mutagenesis#d181,2.0,-1.11,0.53,-0.727,
http://dl-learner.org/mutagenesis#d182,2.0,-2.7,1.99,-1.366,
http://dl-learner.org/mutagenesis#d183,2.0,5.39,4.44,-2.294,
http://dl-learner.org/mutagenesis#d184,2.0,5.09,4.44,-2.074,
http://dl-learner.org/mutagenesis#d185,2.0,-1.84,1.89,-2.09,
http://dl-learner.org/mutagenesis#d186,2.0,-0.17,2.07,-0.574,
http://dl-learner.org/mutagenesis#d187,2.0,4.09,5.41,-1.276,
http://dl-learner.org/mutagenesis#d188,2.0,-0.7,3.51,-0.872,
http://dl-learner.org/mutagenesis#d189,0.0,-0.7,2.29,-3.025,
http://dl-learner.org/mutagenesis#d19,2.0,-1.08,1.84,-1.478,
http://dl-learner.org/mutagenesis#d190,1.0,0.57,2.13,-0.798,
http://dl-learner.org/mutagenesis#d191,1.0,0.77,4.35,-2.138,
http://dl-learner.org/mutagenesis#d192,0.0,-0.22,5.41,-1.429,
http://dl-learner.org/mutagenesis#d193,0.0,-0.22,5.41,-1.478,
http://dl-learner.org/mutagenesis#d194,1.0,0.63,0.88,-0.857,
http://dl-learner.org/mutagenesis#d195,0.0,-2.94,3.61,-1.465,
http://dl-learner.org/mutagenesis#d196,0.0,-2.0,3.51,-1.092,
http://dl-learner.org/mutagenesis#d197,1.0,2.54,1.58,-1.293,
http://dl-learner.org/mutagenesis#d2,2.0,-1.24,1.44,-1.429,
http://dl-learner.org/mutagenesis#d20,2.0,2.51,3.4,-1.764,
http://dl-learner.org/mutagenesis#d21,2.0,0.23,3.52,-1.665,
http://dl-learner.org/mutagenesis#d22,2.0,2.97,5.09,-1.602,
http://dl-learner.org/mutagenesis#d23,2.0,0.86,5.07,-2.164,
http://dl-learner.org/mutagenesis#d24,2.0,0.45,6.79,-1.728,
http://dl-learner.org/mutagenesis#d25,2.0,1.68,3.43,-1.398,
http://dl-learner.org/mutagenesis#d26,2.0,0.3,2.17,-2.072,
http://dl-learner.org/mutagenesis#d27,2.0,2.63,5.87,-1.801,
http://dl-learner.org/mutagenesis#d28,2.0,2.68,4.11,-1.558,
http://dl-learner.org/mutagenesis#d29,2.0,3.41,2.42,-2.837,
http://dl-learner.org/mutagenesis#d3,2.0,-0.96,1.86,-1.456,
http://dl-learner.org/mutagenesis#d30,2.0,0.67,5.07,-2.005,
http://dl-learner.org/mutagenesis#d31,2.0,3.11,4.44,-2.055,
http://dl-learner.org/mutagenesis#d32,2.0,1.54,3.0,-2.562,
http://dl-learner.org/mutagenesis#d33,2.0,2.81,4.23,-1.591,
http://dl-learner.org/mutagenesis#d34,2.0,-0.3,3.24,-1.451,
http://dl-learner.org/mutagenesis#d35,2.0,1.56,3.06,-1.176,
http://dl-learner.org/mutagenesis#d36,2.0,0.0,3.43,-1.24,
http://dl-learner.org/mutagenesis#d37,2.0,0.69,4.18,-1.428,
http://dl-learner.org/mutagenesis#d38,2.0,-0.3,3.77,-1.228,
http://dl-learner.org/mutagenesis#d39,2.0,-1.21,1.87,-1.443,
http://dl-learner.org/mutagenesis#d4,2.0,2.74,4.69,-1.591,
http://dl-learner.org/mutagenesis#d40,2.0,-0.61,3.19,-1.266,
http://dl-learner.org/mutagenesis#d41,2.0,3.06,4.83,-1.6,
http://dl-learner.org/mutagenesis#d42,2.0,-1.1,1.77,-1.19,
http://dl-learner.org/mutagenesis#d43,2.0,3.01,4.69,-1.57,
http://dl-learner.org/mutagenesis#d44,2.0,1.99,4.53,-1.265,
http://dl-learner.org/mutagenesis#d45,2.0,0.15,1.46,-2.227,
http://dl-learner.org/mutagenesis#d46,2.0,0.9,6.57,-1.804,
http://dl-learner.org/mutagenesis#d47,2.0,3.5,5.02,-1.88,
http://dl-learner.org/mutagenesis#d48,2.0,2.95,4.23,-1.616,
http://dl-learner.org/mutagenesis#d49,2.0,2.75,2.29,-2.808,
http://dl-learner.org/mutagenesis#d5,2.0,-0.79,1.89,-1.59,
http://dl-learner.org/mutagenesis#d50,2.0,0.52,2.58,-1.932,
http://dl-learner.org/mutagenesis#d51,2.0,2.41,6.01,-2.184,
http://dl-learner.org/mutagenesis#d52,2.0,2.41,6.01,-2.189,
http://dl-learner.org/mutagenesis#d53,2.0,3.22,3.35,-2.155,
http://dl-learner.org/mutagenesis#d54,2.0,1.73,6.24,-1.464,
http://dl-learner.org/mutagenesis#d55,2.0,-0.7,3.43,-1.177,
http://dl-learner.org/mutagenesis#d56,2.0,2.06,2.52,-2.234,
http://dl-learner.org/mutagenesis#d57,2.0,0.66,3.26,-2.242,
http://dl-learner.org/mutagenesis#d58,2.0,2.8,3.01,-1.991,
http://dl-learner.org/mutagenesis#d59,2.0,0.26,5.07,-2.14,
http://dl-learner.org/mutagenesis#d6,2.0,4.99,3.92,-3.406,
http://dl-learner.org/mutagenesis#d60,2.0,0.35,2.3,-2.468,
http://dl-learner.org/mutagenesis#d61,2.0,3.11,4.68,-1.556,
http://dl-learner.org/mutagenesis#d62,2.0,-2.4,1.36,-0.923,
http://dl-learner.org/mutagenesis#d63,2.0,2.45,2.79,-3.768,
http://dl-learner.org/mutagenesis#d64,2.0,3.19,2.84,-2.338,
http://dl-learner.org/mutagenesis#d65,2.0,-0.05,2.83,-1.952,
http://dl-learner.org/mutagenesis#d66,2.0,-1.52,2.68,-0.959,
http://dl-learner.org/mutagenesis#d67,2.0,2.26,4.66,-1.536,
http://dl-learner.org/mutagenesis#d68,2.0,2.82,5.87,-1.766,
http://dl-learner.org/mutagenesis#d69,2.0,3.2,3.71,-1.929,
http://dl-learner.org/mutagenesis#d7,2.0,-0.1,3.99,-1.144,
http://dl-learner.org/mutagenesis#d70,2.0,-0.94,0.47,-1.786,
http://dl-learner.org/mutagenesis#d71,2.0,2.19,6.01,-2.095,
http://dl-learner.org/mutagenesis#d72,2.0,1.43,3.37,-1.448,
http://dl-learner.org/mutagenesis#d73,2.0,-2.0,2.68,-0.648,
http://dl-learner.org/mutagenesis#d74,2.0,2.76,5.87,-1.689,
http://dl-learner.org/mutagenesis#d75,2.0,1.17,3.52,-1.87,
http://dl-learner.org/mutagenesis#d76,2.0,-1.72,2.24,-1.069,
http://dl-learner.org/mutagenesis#d77,2.0,-1.52,2.68,-1.029,
http://dl-learner.org/mutagenesis#d78,2.0,-0.23,4.27,-1.276,
http://dl-learner.org/mutagenesis#d79,2.0,1.79,4.73,-1.26,
http://dl-learner.org/mutagenesis#d8,2.0,1.86,3.46,-1.437,
http://dl-learner.org/mutagenesis#d80,2.0,1.87,4.69,-1.329,
http://dl-learner.org/mutagenesis#d81,2.0,0.03,1.49,-1.937,
http://dl-learner.org/mutagenesis#d82,2.0,3.56,4.18,-2.71,
http://dl-learner.org/mutagenesis#d83,2.0,1.01,3.51,-1.145,
http://dl-learner.org/mutagenesis#d84,2.0,-1.3,2.61,-1.256,
http://dl-learner.org/mutagenesis#d85,2.0,0.04,5.07,-2.113,
http://dl-learner.org/mutagenesis#d86,2.0,0.92,5.07,-1.918,
http://dl-learner.org/mutagenesis#d87,2.0,1.64,3.83,-1.488,
http://dl-learner.org/mutagenesis#d88,2.0,-1.54,1.53,-1.605,
http://dl-learner.org/mutagenesis#d89,2.0,-1.0,1.77,-1.028,
http://dl-learner.org/mutagenesis#d9,2.0,-1.83,1.64,-0.982,
http://dl-learner.org/mutagenesis#d90,2.0,1.59,5.87,-1.62,
http://dl-learner.org/mutagenesis#d91,2.0,3.08,3.01,-2.032,
http://dl-learner.org/mutagenesis#d92,2.0,1.58,5.28,-1.208,
http://dl-learner.org/mutagenesis#d93,2.0,2.95,5.87,-1.729,
http://dl-learner.org/mutagenesis#d94,2.0,3.39,4.69,-1.585,
http://dl-learner.org/mutagenesis#d95,2.0,1.51,2.55,-2.434,
http://dl-learner.org/mutagenesis#d96,2.0,4.99,4.18,-2.871,
http://dl-learner.org/mutagenesis#d97,2.0,2.79,3.95,-1.361,
http://dl-learner.org/mutagenesis#d98,2.0,-1.55,1.65,-1.598,
http://dl-learner.org/mutagenesis#d99,2.0,1.77,2.72,-2.159,
http://dl-learner.org/mutagenesis#e1,1.0,1.64,5.87,-1.767,
http://dl-learner.org/mutagenesis#e10,0.0,-4.0,2.13,-1.125,
http://dl-learner.org/mutagenesis#e11,0.0,-4.0,1.9,-1.358,
http://dl-learner.org/mutagenesis#e12,0.0,-4.0,1.58,-1.834,
http://dl-learner.org/mutagenesis#e13,0.0,-4.0,2.41,-1.306,
http://dl-learner.org/mutagenesis#e14,0.0,-4.0,2.39,-1.36,
http://dl-learner.org/mutagenesis#e15,0.0,-0.52,5.41,-1.723,
http://dl-learner.org/mutagenesis#e16,0.0,-4.0,3.09,-1.351,
http://dl-learner.org/mutagenesis#e17,0.0,-0.95,4.78,-1.755,
http://dl-learner.org/mutagenesis#e18,0.0,-4.0,3.12,-1.538,
http://dl-learner.org/mutagenesis#e19,0.0,-4.0,1.38,-1.392,
http://dl-learner.org/mutagenesis#e2,1.0,0.3,6.16,-1.35,
http://dl-learner.org/mutagenesis#e20,0.0,-4.0,1.38,-1.447,
http://dl-learner.org/mutagenesis#e21,0.0,-4.0,6.57,-1.717,
http://dl-learner.org/mutagenesis#e22,0.0,-4.0,2.55,-1.636,
http://dl-learner.org/mutagenesis#e23,0.0,-4.0,2.55,-1.808,
http://dl-learner.org/mutagenesis#e24,0.0,-4.0,5.41,-1.113,
http://dl-learner.org/mutagenesis#e25,0.0,-4.0,4.78,-1.748,
http://dl-learner.org/mutagenesis#e26,0.0,-4.0,5.06,-1.82,
http://dl-learner.org/mutagenesis#e27,1.0,1.48,5.87,-1.845,
http://dl-learner.org/mutagenesis#e3,0.0,-4.0,2.86,-0.56,
http://dl-learner.org/mutagenesis#e4,0.0,-4.0,2.5,-0.746,
http://dl-learner.org/mutagenesis#e5,0.0,-4.0,1.85,-1.089,
http://dl-learner.org/mutagenesis#e6,0.0,-4.0,2.5,-0.868,
http://dl-learner.org/mutagenesis#e7,0.0,-4.0,2.13,-1.05,
http://dl-learner.org/mutagenesis#e8,0.0,-4.0,2.03,-1.117,
http://dl-learner.org/mutagenesis#e9,0.0,-4.0,1.69,-1.321,
http://dl-learner.org/mutagenesis#f1,1.0,0.64,1.01,-1.785,
http://dl-learner.org/mutagenesis#f2,1.0,1.97,0.96,-1.851,
http://dl-learner.org/mutagenesis#f3,1.0,1.02,0.23,-1.412,
http://dl-learner.org/mutagenesis#f4,1.0,1.03,-0.47,-1.645,
http://dl-learner.org/mutagenesis#f5,1.0,2.59,0.95,-1.526,
http://dl-learner.org/mutagenesis#f6,1.0,2.24,-0.04,-1.503,
http://dl-learner.org/mutagenesis#d100_1,2.0,,,,-0.128
http://dl-learner.org/mutagenesis#d100_10,2.0,,,,0.132
http://dl-learner.org/mutagenesis#d100_11,2.0,,,,0.002
http://dl-learner.org/mutagenesis#d100_12,2.0,,,,-0.128
http://dl-learner.org/mutagenesis#d100_13,2.0,,,,-0.128
http://dl-learner.org/mutagenesis#d100_14,2.0,,,,-0.128
http://dl-learner.org/mutagenesis#d100_15,2.0,,,,0.202
http://dl-learner.org/mutagenesis#d100_16,2.0,,,,-0.128
http://dl-learner.org/mutagenesis#d100_17,2.0,,,,0.132
http://dl-learner.org/mutagenesis#d100_18,2.0,,,,0.132
http://dl-learner.org/mutagenesis#d100_19,2.0,,,,0.132
http://dl-learner.org/mutagenesis#d100_2,2.0,,,,-0.128
http://dl-learner.org/mutagenesis#d100_20,2.0,,,,0.132
http://dl-learner.org/mutagenesis#d100_21,2.0,,,,-0.779
http://dl-learner.org/mutagenesis#d100_22,2.0,,,,0.801
http://dl-learner.org/mutagenesis#d100_23,2.0,,,,-0.398
http://dl-learner.org/mutagenesis#d100_24,2.0,,,,-0.398
http://dl-learner.org/mutagenesis#d100_25,2.0,,,,0.332
http://dl-learner.org/mutagenesis#d100_26,2.0,,,,0.332
http://dl-learner.org/mutagenesis#d100_3,2.0,,,,-0.128
http://dl-learner.org/mutagenesis#d100_4,2.0,,,,0.002
http://dl-learner.org/mutagenesis#d100_5,2.0,,,,-0.128
http://dl-learner.org/mutagenesis#d100_6,2.0,,,,-0.128
http://dl-learner.org/mutagenesis#d100_7,2.0,,,,0.132
http://dl-learner.org/mutagenesis#d100_8,2.0,,,,0.132
http://dl-learner.org/mutagenesis#d100_9,2.0,,,,0.132
http://dl-learner.org/mutagenesis#d101_1,2.0,,,,-0.121
http://dl-learner.org/mutagenesis#d101_10,2.0,,,,-0.091
http://dl-learner.org/mutagenesis#d101_11,2.0,,,,0.009
http://dl-learner.org/mutagenesis#d101_12,2.0,,,,0.009
http://dl-learner.org/mutagenesis#d101_13,2.0,,,,0.009
http://dl-learner.org/mutagenesis#d101_14,2.0,,,,-0.121
http://dl-learner.org/mutagenesis#d101_15,2.0,,,,-0.121
http://dl-learner.org/mutagenesis#d101_16,2.0,,,,-0.122
http://dl-learner.org/mutagenesis#d101_17,2.0,,,,-0.091
http://dl-learner.org/mutagenesis#d101_18,2.0,,,,-0.091
http://dl-learner.org/mutagenesis#d101_19,2.0,,,,-0.091
http://dl-learner.org/mutagenesis#d101_2,2.0,,,,-0.121
http://dl-learner.org/mutagenesis#d101_20,2.0,,,,-0.091
http://dl-learner.org/mutagenesis#d101_21,2.0,,,,0.808
http://dl-learner.org/mutagenesis#d101_22,2.0,,,,-0.392
http://dl-learner.org/mutagenesis#d101_23,2.0,,,,-0.392
http://dl-learner.org/mutagenesis#d101_24,2.0,,,,0.138
http://dl-learner.org/mutagenesis#d101_25,2.0,,,,0.138
http://dl-learner.org/mutagenesis#d101_26,2.0,,,,0.138
http://dl-learner.org/mutagenesis#d101_27,2.0,,,,0.138
http://dl-learner.org/mutagenesis#d101_28,2.0,,,,0.138
http://dl-learner.org/mutagenesis#d101_29,2.0,,,,0.138
http://dl-learner.org/mutagenesis#d101_3,2.0,,,,0.009
http://dl-learner.org/mutagenesis#d101_30,2.0,,,,0.138
http://dl-learner.org/mutagenesis#d101_31,2.0,,,,0.059
http://dl-learner.org/mutagenesis#d101_32,2.0,,,,0.059
http://dl-learner.org/mutagenesis#d101_33,2.0,,,,0.059
http://dl-learner.org/mutagenesis#d101_34,2.0,,,,0.059
http://dl-learner.org/mutagenesis#d101_35,2.0,,,,0.059
http://dl-learner.org/mutagenesis#d101_36,2.0,,,,0.059
http://dl-learner.org/mutagenesis#d101_37,2.0,,,,0.059
http://dl-learner.org/mutagenesis#d101_38,2.0,,,,0.059
http://dl-learner.org/mutagenesis#d101_4,2.0,,,,-0.091
http://dl-learner.org/mutagenesis#d101_5,2.0,,,,0.009
http://dl-learner.org/mutagenesis#d101_6,2.0,,,,-0.122
http://dl-learner.org/mutagenesis#d101_7,2.0,,,,-0.121
http://dl-learner.org/mutagenesis#d101_8,2.0,,,,-0.121
http://dl-learner.org/mutagenesis#d101_9,2.0,,,,0.009
http://dl-learner.org/mutagenesis#d102_1,2.0,,,,-0.119
http://dl-learner.org/mutagenesis#d102_10,2.0,,,,-0.119
http://dl-learner.org/mutagenesis#d102_11,2.0,,,,-0.119
http://dl-learner.org/mutagenesis#d102_12,2.0,,,,-0.119
http://dl-learner.org/mutagenesis#d102_13,2.0,,,,-0.119
http://dl-learner.org/mutagenesis#d102_14,2.0,,,,0.011
http://dl-learner.org/mutagenesis#d102_15,2.0,,,,0.141
http://dl-learner.org/mutagenesis#d102_16,2.0,,,,0.141
http://dl-learner.org/mutagenesis#d102_17,2.0,,,,0.56
http://dl-learner.org/mutagenesis#d102_18,2.0,,,,-0.54
http://dl-learner.org/mutagenesis#d102_19,2.0,,,,0.81
http://dl-learner.org/mutagenesis#d102_2,2.0,,,,-0.119
http://dl-learner.org/mutagenesis#d102_20,2.0,,,,0.81
http://dl-learner.org/mutagenesis#d102_21,2.0,,,,0.81
http://dl-learner.org/mutagenesis#d102_22,2.0,,,,0.81
http://dl-learner.org/mutagenesis#d102_23,2.0,,,,-0.39
http://dl-learner.org/mutagenesis#d102_24,2.0,,,,-0.389
http://dl-learner.org/mutagenesis#d102_25,2.0,,,,-0.389
http://dl-learner.org/mutagenesis#d102_26,2.0,,,,-0.389
http://dl-learner.org/mutagenesis#d102_27,2.0,,,,-0.389
http://dl-learner.org/mutagenesis#d102_28,2.0,,,,-0.39
http://dl-learner.org/mutagenesis#d102_29,2.0,,,,-0.39
http://dl-learner.org/mutagenesis#d102_3,2.0,,,,0.111
http://dl-learner.org/mutagenesis#d102_30,2.0,,,,-0.39
http://dl-learner.org/mutagenesis#d102_4,2.0,,,,0.011
http://dl-learner.org/mutagenesis#d102_5,2.0,,,,-0.119
http://dl-learner.org/mutagenesis#d102_6,2.0,,,,-0.119
http://dl-learner.org/mutagenesis#d102_7,2.0,,,,0.141
http://dl-learner.org/mutagenesis#d102_8,2.0,,,,0.141
http://dl-learner.org/mutagenesis#d102_9,2.0,,,,0.111
http://dl-learner.org/mutagenesis#d103_1,2.0,,,,-0.118
http://dl-learner.org/mutagenesis#d103_10,2.0,,,,-0.118
http://dl-learner.org/mutagenesis#d103_11,2.0,,,,-0.118
http://dl-learner.org/mutagenesis#d103_12,2.0,,,,0.012
http://dl-learner.org/mutagenesis#d103_13,2.0,,,,-0.088
http://dl-learner.org/mutagenesis#d103_14,2.0,,,,0.141
http://dl-learner.org/mutagenesis#d103_15,2.0,,,,0.142
http://dl-learner.org/mutagenesis#d103_16,2.0,,,,0.012
http://dl-learner.org/mutagenesis#d103_17,2.0,,,,-0.118
http://dl-learner.org/mutagenesis#d103_18,2.0,,,,-0.118
http://dl-learner.org/mutagenesis#d103_19,2.0,,,,0.141
http://dl-learner.org/mutagenesis#d103_2,2.0,,,,-0.118
http://dl-learner.org/mutagenesis#d103_20,2.0,,,,0.142
http://dl-learner.org/mutagenesis#d103_21,2.0,,,,-0.118
http://dl-learner.org/mutagenesis#d103_22,2.0,,,,-0.118
http://dl-learner.org/mutagenesis#d103_23,2.0,,,,-0.118
http://dl-learner.org/mutagenesis#d103_24,2.0,,,,0.142
http://dl-learner.org/mutagenesis#d103_25,2.0,,,,0.142
http://dl-learner.org/mutagenesis#d103_26,2.0,,,,0.811
http://dl-learner.org/mutagenesis#d103_27,2.0,,,,-0.389
http://dl-learner.org/mutagenesis#d103_28,2.0,,,,-0.389
http://dl-learner.org/mutagenesis#d103_3,2.0,,,,0.012
http://dl-learner.org/mutagenesis#d103_4,2.0,,,,-0.088
http://dl-learner.org/mutagenesis#d103_5,2.0,,,,0.012
http://dl-learner.org/mutagenesis#d103_6,2.0,,,,-0.118
http://dl-learner.org/mutagenesis#d103_7,2.0,,,,0.141
http://dl-learner.org/mutagenesis#d103_8,2.0,,,,0.142
http://dl-learner.org/mutagenesis#d103_9,2.0,,,,0.142
http://dl-learner.org/mutagenesis#d104_1,2.0,,,,-0.121
http://dl-learner.org/mutagenesis#d104_10,2.0,,,,-0.091
http://dl-learner.org/mutagenesis#d104_11,2.0,,,,0.009
http://dl-learner.org/mutagenesis#d104_12,2.0,,,,0.009
http://dl-learner.org/mutagenesis#d104_13,2.0,,,,0.009
http://dl-learner.org/mutagenesis#d104_14,2.0,,,,-0.121
http://dl-learner.org/mutagenesis#d104_15,2.0,,,,-0.121
http://dl-learner.org/mutagenesis#d104_16,2.0,,,,-0.122
http://dl-learner.org/mutagenesis#d104_17,2.0,,,,-0.091
http://dl-learner.org/mutagenesis#d104_18,2.0,,,,-0.091
http://dl-learner.org/mutagenesis#d104_19,2.0,,,,-0.091
http://dl-learner.org/mutagenesis#d104_2,2.0,,,,-0.121
http://dl-learner.org/mutagenesis#d104_20,2.0,,,,-0.091
http://dl-learner.org/mutagenesis#d104_21,2.0,,,,0.808
http://dl-learner.org/mutagenesis#d104_22,2.0,,,,-0.392
http://dl-learner.org/mutagenesis#d104_23,2.0,,,,-0.392
http://dl-learner.org/mutagenesis#d104_24,2.0,,,,0.138
http://dl-learner.org/mutagenesis#d104_25,2.0,,,,0.138
http://dl-learner.org/mutagenesis#d104_26,2.0,,,,0.138
http://dl-learner.org/mutagenesis#d104_27,2.0,,,,0.138
http://dl-learner.org/mutagenesis#d104_28,2.0,,,,0.138
http://dl-learner.org/mutagenesis#d104_29,2.0,,,,0.138
http://dl-learner.org/mutagenesis#d104_3,2.0,,,,0.009
http://dl-learner.org/mutagenesis#d104_30,2.0,,,,0.138
http://dl-learner.org/mutagenesis#d104_31,2.0,,,,0.059
http://dl-learner.org/mutagenesis#d104_32,2.0,,,,0.059
http://dl-learner.org/mutagenesis#d104_33,2.0,,,,0.059
http://dl-learner.org/mutagenesis#d104_34,2.0,,,,0.059
http://dl-learner.org/mutagenesis#d104_35,2.0,,,,0.059
http://dl-learner.org/mutagenesis#d104_36,2.0,,,,0.059
http://dl-learner.org/mutagenesis#d104_37,2.0,,,,0.059
