,dribble_efficiency,minutes_played,shot_efficiency,tackle_efficiency,total_fouls_won
http://dl-learner.org/res/action104251548,1.0,53.0,0.5,-1.0,0.0
http://dl-learner.org/res/action104251558,-1.0,18.0,-1.0,1.0,0.0
http://dl-learner.org/res/action104251568,0.0,22.0,0.25,-1.0,0.0
http://dl-learner.org/res/action104251578,0.25,66.0,0.5,-1.0,1.0
http://dl-learner.org/res/action104251598,-1.0,28.0,0.5,1.0,0.0
http://dl-learner.org/res/action104251608,-1.0,5.0,1.0,-1.0,0.0
http://dl-learner.org/res/action104251618,0.666667,30.0,1.0,1.0,0.0
http://dl-learner.org/res/action104251628,1.0,80.0,-1.0,1.0,1.0
http://dl-learner.org/res/action104251658,0.4,55.0,1.0,0.0,0.0
http://dl-learner.org/res/action104251668,1.0,26.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action104251678,1.0,10.0,0.0,1.0,0.0
http://dl-learner.org/res/action104251688,0.0,59.0,0.0,-1.0,0.0
http://dl-learner.org/res/action10425448,-1.0,16.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action10425778,0.5,45.0,0.0,-1.0,2.0
http://dl-learner.org/res/action1042578,0.0,28.0,0.0,1.0,1.0
http://dl-learner.org/res/action10425788,0.0,43.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action1042588,-1.0,90.0,-1.0,0.8,3.0
http://dl-learner.org/res/action10451537,-1.0,64.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action10451577,0.0,23.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action10451657,0.0,21.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1045411354,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1045411454,-1.0,17.0,-1.0,1.0,0.0
http://dl-learner.org/res/action104541154,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1045414454,-1.0,16.0,-1.0,1.0,1.0
http://dl-learner.org/res/action1045417254,-1.0,7.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1045419954,-1.0,90.0,-1.0,0.666667,1.0
http://dl-learner.org/res/action1045420054,-1.0,10.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1045420254,-1.0,68.0,0.0,0.333333,0.0
http://dl-learner.org/res/action1045420354,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1045420754,-1.0,25.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1045420854,-1.0,7.0,-1.0,0.0,0.0
http://dl-learner.org/res/action1045420954,-1.0,7.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1045421054,1.0,8.0,0.0,1.0,0.0
http://dl-learner.org/res/action1045421154,-1.0,11.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1045421254,-1.0,10.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1045421354,-1.0,90.0,1.0,1.0,0.0
http://dl-learner.org/res/action1045421554,-1.0,90.0,-1.0,0.0,0.0
http://dl-learner.org/res/action1045421754,-1.0,13.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1045421954,-1.0,2.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1045422154,-1.0,19.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1045422354,1.0,45.0,1.0,-1.0,0.0
http://dl-learner.org/res/action104544754,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action104661011,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1046611111,-1.0,90.0,1.0,1.0,1.0
http://dl-learner.org/res/action1046611211,1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action1046614211,-1.0,90.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action1046617211,-1.0,90.0,0.0,1.0,0.0
http://dl-learner.org/res/action1046617611,-1.0,90.0,-1.0,0.5,0.0
http://dl-learner.org/res/action1046617711,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action1046617811,-1.0,90.0,-1.0,0.0,0.0
http://dl-learner.org/res/action1046617911,-1.0,56.0,-1.0,0.5,0.0
http://dl-learner.org/res/action1046618011,-1.0,70.0,1.0,1.0,0.0
http://dl-learner.org/res/action1046618111,-1.0,90.0,0.0,-1.0,1.0
http://dl-learner.org/res/action1046618311,-1.0,74.0,0.0,1.0,0.0
http://dl-learner.org/res/action1046618411,-1.0,90.0,-1.0,0.0,1.0
http://dl-learner.org/res/action1046618511,-1.0,90.0,0.0,1.0,1.0
http://dl-learner.org/res/action1046618611,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1046618711,0.0,90.0,-1.0,0.666667,0.0
http://dl-learner.org/res/action1046618811,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action1046618911,-1.0,90.0,0.0,0.0,0.0
http://dl-learner.org/res/action1046619011,-1.0,6.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1046619111,-1.0,90.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action1046619211,-1.0,90.0,-1.0,-1.0,4.0
http://dl-learner.org/res/action1046619311,-1.0,90.0,-1.0,0.6,1.0
http://dl-learner.org/res/action1046619411,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action1046619611,-1.0,90.0,1.0,-1.0,1.0
http://dl-learner.org/res/action1046619711,-1.0,90.0,-1.0,0.5,1.0
http://dl-learner.org/res/action1046619811,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action104664611,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action104667911,-1.0,85.0,0.0,1.0,0.0
http://dl-learner.org/res/action104668011,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action10466911,1.0,90.0,-1.0,0.666667,0.0
http://dl-learner.org/res/action10508611454,-1.0,7.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1050861254,1.0,21.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action10508614354,0.333333,90.0,-1.0,0.666667,2.0
http://dl-learner.org/res/action10508614454,0.0,88.0,1.0,1.0,3.0
http://dl-learner.org/res/action10508617254,0.0,90.0,1.0,1.0,1.0
http://dl-learner.org/res/action10508620054,0.333333,32.0,0.0,1.0,3.0
http://dl-learner.org/res/action10508620454,0.0,67.0,-1.0,1.0,2.0
http://dl-learner.org/res/action10508620654,-1.0,1.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action10508620754,0.222222,80.0,1.0,-1.0,2.0
http://dl-learner.org/res/action10508621454,-1.0,8.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action10508621554,1.0,13.0,1.0,-1.0,1.0
http://dl-learner.org/res/action10508621654,0.0,23.0,1.0,-1.0,0.0
http://dl-learner.org/res/action10508621854,0.5,90.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action10508622254,0.0,8.0,-1.0,0.0,1.0
http://dl-learner.org/res/action10508622454,-1.0,4.0,1.0,-1.0,0.0
http://dl-learner.org/res/action1050868254,0.0,51.0,-1.0,0.0,1.0
http://dl-learner.org/res/action10519016939,-1.0,14.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action10519017039,0.0,45.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action10519019839,-1.0,19.0,-1.0,1.0,0.0
http://dl-learner.org/res/action10519036039,0.0,61.0,1.0,1.0,0.0
http://dl-learner.org/res/action1051903739,-1.0,72.0,-1.0,1.0,0.0
http://dl-learner.org/res/action10519038039,1.0,31.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action10532212030,0.0,21.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action10532212730,0.0,89.0,-1.0,1.0,0.0
http://dl-learner.org/res/action10532213530,1.0,90.0,-1.0,0.666667,0.0
http://dl-learner.org/res/action1056110739,1.0,90.0,-1.0,0.0,1.0
http://dl-learner.org/res/action1056113939,-1.0,90.0,-1.0,0.0,1.0
http://dl-learner.org/res/action1056114039,-1.0,3.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1056116939,-1.0,90.0,-1.0,0.666667,0.0
http://dl-learner.org/res/action1056117039,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action1056119739,-1.0,90.0,-1.0,0.0,1.0
http://dl-learner.org/res/action1056119839,0.0,90.0,-1.0,0.6,1.0
http://dl-learner.org/res/action1056122339,-1.0,90.0,-1.0,1.0,2.0
http://dl-learner.org/res/action1056122439,-1.0,19.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1056124739,1.0,90.0,0.0,1.0,1.0
http://dl-learner.org/res/action1056126939,-1.0,90.0,-1.0,1.0,5.0
http://dl-learner.org/res/action1056127039,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1056128939,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action1056130739,-1.0,58.0,-1.0,0.5,1.0
http://dl-learner.org/res/action1056130839,1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1056132339,-1.0,90.0,-1.0,0.5,0.0
http://dl-learner.org/res/action1056133739,1.0,90.0,0.0,1.0,2.0
http://dl-learner.org/res/action1056134939,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action1056135039,-1.0,86.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1056136039,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action1056136739,-1.0,90.0,0.333333,1.0,0.0
http://dl-learner.org/res/action1056136839,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action1056137339,1.0,90.0,1.0,1.0,1.0
http://dl-learner.org/res/action105613739,-1.0,90.0,-1.0,0.5,0.0
http://dl-learner.org/res/action1056137439,1.0,90.0,-1.0,0.666667,3.0
http://dl-learner.org/res/action1056137739,-1.0,90.0,-1.0,-1.0,3.0
http://dl-learner.org/res/action1056137939,0.5,90.0,-1.0,1.0,4.0
http://dl-learner.org/res/action1056138039,-1.0,90.0,-1.0,1.0,2.0
http://dl-learner.org/res/action105613839,1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action105617339,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action105617439,-1.0,74.0,1.0,1.0,2.0
http://dl-learner.org/res/action105912552,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action105918352,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action105923352,-1.0,90.0,0.0,0.666667,1.0
http://dl-learner.org/res/action10592352,-1.0,90.0,0.0,-1.0,0.0
http://dl-learner.org/res/action105925552,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action105927552,-1.0,90.0,-1.0,0.666667,0.0
http://dl-learner.org/res/action105929352,-1.0,90.0,-1.0,-1.0,2.0
http://dl-learner.org/res/action105929452,-1.0,90.0,-1.0,0.5,0.0
http://dl-learner.org/res/action105930952,-1.0,90.0,-1.0,0.5,0.0
http://dl-learner.org/res/action105931052,-1.0,90.0,-1.0,1.0,3.0
http://dl-learner.org/res/action105932552,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action105932752,1.0,90.0,0.0,0.5,1.0
http://dl-learner.org/res/action105933152,0.0,80.0,-1.0,1.0,0.0
http://dl-learner.org/res/action105933352,-1.0,90.0,-1.0,0.5,1.0
http://dl-learner.org/res/action105933552,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action105933752,-1.0,83.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action10599452,-1.0,1.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1066032871,0.0,45.0,-1.0,0.5,0.0
http://dl-learner.org/res/action1066032891,-1.0,23.0,-1.0,0.5,0.0
http://dl-learner.org/res/action10738397,0.5,90.0,1.0,-1.0,0.0
http://dl-learner.org/res/action10738417,-1.0,81.0,0.5,-1.0,1.0
http://dl-learner.org/res/action10738437,1.0,12.0,1.0,-1.0,0.0
http://dl-learner.org/res/action10738457,-1.0,90.0,0.0,-1.0,1.0
http://dl-learner.org/res/action10738467,-1.0,90.0,0.8,-1.0,2.0
http://dl-learner.org/res/action10738477,0.5,90.0,-1.0,-1.0,2.0
http://dl-learner.org/res/action10738517,-1.0,90.0,0.0,-1.0,0.0
http://dl-learner.org/res/action10738527,0.5,90.0,1.0,-1.0,1.0
http://dl-learner.org/res/action10738537,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action10738557,0.0,86.0,0.5,1.0,0.0
http://dl-learner.org/res/action10738567,-1.0,90.0,1.0,0.0,0.0
http://dl-learner.org/res/action10738577,-1.0,90.0,1.0,-1.0,0.0
http://dl-learner.org/res/action10738607,0.0,90.0,0.6,-1.0,0.0
http://dl-learner.org/res/action10738637,0.0,90.0,1.0,0.0,0.0
http://dl-learner.org/res/action10738657,-1.0,90.0,0.0,1.0,1.0
http://dl-learner.org/res/action10738667,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action10738677,0.0,90.0,0.333333,0.0,1.0
http://dl-learner.org/res/action10738697,-1.0,90.0,0.5,-1.0,2.0
http://dl-learner.org/res/action10738717,0.5,74.0,0.666667,-1.0,0.0
http://dl-learner.org/res/action10738727,-1.0,79.0,1.0,1.0,1.0
http://dl-learner.org/res/action10738737,0.0,90.0,0.0,-1.0,0.0
http://dl-learner.org/res/action10738747,-1.0,90.0,1.0,1.0,1.0
http://dl-learner.org/res/action10785311454,-1.0,2.0,1.0,-1.0,0.0
http://dl-learner.org/res/action10954835,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action10954875,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action10954965,-1.0,90.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action1107818245,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1107820845,-1.0,90.0,0.0,1.0,1.0
http://dl-learner.org/res/action1107823245,-1.0,90.0,-1.0,0.0,0.0
http://dl-learner.org/res/action1107825445,-1.0,90.0,0.0,-1.0,0.0
http://dl-learner.org/res/action1107827445,-1.0,90.0,-1.0,0.0,0.0
http://dl-learner.org/res/action1107829245,1.0,90.0,-1.0,0.0,0.0
http://dl-learner.org/res/action1107831245,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1107831645,-1.0,90.0,0.0,0.5,1.0
http://dl-learner.org/res/action1107831845,-1.0,90.0,1.0,0.5,0.0
http://dl-learner.org/res/action1107832245,-1.0,90.0,0.0,0.5,0.0
http://dl-learner.org/res/action1107832445,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action110789245,-1.0,90.0,0.0,1.0,0.0
http://dl-learner.org/res/action1124826056,-1.0,9.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1124832856,0.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action112489856,-1.0,90.0,-1.0,0.5,1.0
http://dl-learner.org/res/action112781098,0.0,54.0,-1.0,1.0,2.0
http://dl-learner.org/res/action112781418,0.0,90.0,0.0,1.0,1.0
http://dl-learner.org/res/action112781428,0.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action112781438,0.4,81.0,-1.0,1.0,0.0
http://dl-learner.org/res/action112781478,0.0,90.0,-1.0,-1.0,2.0
http://dl-learner.org/res/action112781488,-1.0,70.0,-1.0,0.8,0.0
http://dl-learner.org/res/action112781498,0.0,90.0,-1.0,0.8,0.0
http://dl-learner.org/res/action112781508,0.0,90.0,1.0,1.0,2.0
http://dl-learner.org/res/action112781528,1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action112781538,0.25,90.0,1.0,-1.0,1.0
http://dl-learner.org/res/action112781548,1.0,90.0,0.0,0.8,0.0
http://dl-learner.org/res/action112781558,1.0,33.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action112781568,-1.0,82.0,-1.0,1.0,0.0
http://dl-learner.org/res/action112781578,0.6,90.0,0.0,1.0,1.0
http://dl-learner.org/res/action112781598,0.0,90.0,0.0,1.0,1.0
http://dl-learner.org/res/action112781608,0.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action112781618,-1.0,90.0,-1.0,0.666667,0.0
http://dl-learner.org/res/action112781628,0.333333,90.0,0.0,1.0,0.0
http://dl-learner.org/res/action112781638,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action112781648,0.0,60.0,-1.0,1.0,1.0
http://dl-learner.org/res/action112781658,1.0,90.0,-1.0,0.75,1.0
http://dl-learner.org/res/action112781678,0.4,90.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action112781698,-1.0,13.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action112781708,-1.0,90.0,1.0,1.0,0.0
http://dl-learner.org/res/action11278438,-1.0,15.0,1.0,-1.0,0.0
http://dl-learner.org/res/action1127878,0.4,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1127888,1.0,90.0,-1.0,0.5,0.0
http://dl-learner.org/res/action113115956,-1.0,90.0,-1.0,0.5,0.0
http://dl-learner.org/res/action113118756,-1.0,21.0,1.0,1.0,0.0
http://dl-learner.org/res/action113128056,-1.0,90.0,0.0,-1.0,0.0
http://dl-learner.org/res/action113131356,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action113132756,-1.0,90.0,-1.0,1.0,2.0
http://dl-learner.org/res/action113133956,-1.0,90.0,1.0,1.0,0.0
http://dl-learner.org/res/action113135356,1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action11319756,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action113341098,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341108,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341418,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341428,1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341438,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341448,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341458,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341478,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341488,-1.0,90.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action113341498,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341508,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341518,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341528,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341548,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341558,-1.0,90.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action113341568,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341578,-1.0,90.0,-1.0,-1.0,3.0
http://dl-learner.org/res/action113341588,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341598,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341608,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341618,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341628,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341638,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341648,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341668,-1.0,90.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action113341678,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341688,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341698,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113341708,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action11334438,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action11334448,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action11334778,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1133478,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1133488,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113781214,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action113781224,-1.0,90.0,-1.0,-1.0,3.0
http://dl-learner.org/res/action113781524,0.0,90.0,0.0,0.0,0.0
http://dl-learner.org/res/action113781804,-1.0,90.0,-1.0,0.75,2.0
http://dl-learner.org/res/action11378204,-1.0,90.0,-1.0,0.0,1.0
http://dl-learner.org/res/action113782064,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action113782294,-1.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action113782304,-1.0,90.0,0.333333,-1.0,1.0
http://dl-learner.org/res/action113782524,-1.0,90.0,-1.0,0.75,0.0
http://dl-learner.org/res/action113782724,-1.0,90.0,0.0,1.0,0.0
http://dl-learner.org/res/action113782924,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113782944,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113782964,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113782974,-1.0,5.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113782984,0.0,90.0,-1.0,1.0,2.0
http://dl-learner.org/res/action113783004,-1.0,90.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action113783024,-1.0,90.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action113783044,0.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action113783064,-1.0,90.0,-1.0,0.0,0.0
http://dl-learner.org/res/action113783084,-1.0,90.0,-1.0,0.0,1.0
http://dl-learner.org/res/action11378564,-1.0,90.0,-1.0,0.0,1.0
http://dl-learner.org/res/action11378904,-1.0,90.0,-1.0,0.5,0.0
http://dl-learner.org/res/action114042507,1.0,4.0,-1.0,1.0,0.0
http://dl-learner.org/res/action114042547,0.0,15.0,0.0,0.5,1.0
http://dl-learner.org/res/action114042707,-1.0,1.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action1146710435,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1146713635,-1.0,90.0,-1.0,1.0,2.0
http://dl-learner.org/res/action1146719335,0.0,90.0,-1.0,1.0,1.0
http://dl-learner.org/res/action1146719435,0.5,90.0,-1.0,0.666667,0.0
http://dl-learner.org/res/action1146724335,-1.0,90.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action1146724435,0.0,90.0,-1.0,0.666667,1.0
http://dl-learner.org/res/action1146726535,-1.0,90.0,-1.0,0.666667,3.0
http://dl-learner.org/res/action1146726635,-1.0,90.0,-1.0,0.666667,0.0
http://dl-learner.org/res/action1146730335,-1.0,83.0,-1.0,0.5,0.0
http://dl-learner.org/res/action1146730435,0.666667,90.0,-1.0,0.5,0.0
http://dl-learner.org/res/action114673335,-1.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action1146733435,1.0,90.0,0.0,0.0,0.0
http://dl-learner.org/res/action114673435,0.333333,90.0,-1.0,0.5,1.0
http://dl-learner.org/res/action1146737035,-1.0,90.0,-1.0,0.5,0.0
http://dl-learner.org/res/action1146737635,-1.0,90.0,-1.0,0.333333,1.0
http://dl-learner.org/res/action1146737735,-1.0,85.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action114676935,0.0,90.0,-1.0,1.0,0.0
http://dl-learner.org/res/action114677035,0.0,90.0,0.0,0.0,2.0
http://dl-learner.org/res/action11721128110,0.333333,52.0,1.0,-1.0,1.0
http://dl-learner.org/res/action11721158110,-1.0,25.0,-1.0,-1.0,0.0
http://dl-learner.org/res/action11721186110,1.0,23.0,-1.0,-1.0,1.0
http://dl-learner.org/res/action11721212110,-1.0,24.0,-1.0,0.666667,0.0
