,label,ActivityScore_NCTRER,DSSTox_CID,DSSTox_Generic_SID,DSSTox_RID,ER_RBA,F1_Ring,F2_AromaticRing,F3_PhenolicRing,F4_Heteroatom,F5_Phenol3nPhenyl,F6_OtherKeyFeatures,LOGP,LOG_ER_RBA,Mean_ER_RBA_ChemClass,STRUCTURE_MolecularWeight,number_of_atom_lists,number_of_atoms,number_of_bounds,atom-atom_mapping_number,atom_coordinate_x,atom_coordinate_y,atom_coordinate_z,atom_number,charge,mass_difference
http://dl-learner.org/nctrer/108,0.0,0.0,2415.0,22415.0,22415.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.26,-10000.0,,156.2237,0.0,12.0,13.0,,,,,,,
http://dl-learner.org/nctrer/109,0.0,0.0,2416.0,22416.0,22416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,-10000.0,,146.2273,0.0,10.0,9.0,,,,,,,
http://dl-learner.org/nctrer/11,0.0,0.0,2318.0,22318.0,22318.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.28,-10000.0,0.019,224.2546,0.0,17.0,19.0,,,,,,,
http://dl-learner.org/nctrer/110,0.0,0.0,2417.0,22417.0,22417.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.78,-10000.0,,193.2423,0.0,14.0,14.0,,,,,,,
http://dl-learner.org/nctrer/111,0.0,0.0,1969.0,21969.0,22418.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.05,-10000.0,0.00088,152.1473,0.0,11.0,11.0,,,,,,,
http://dl-learner.org/nctrer/112,0.0,0.0,2419.0,22419.0,22419.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,-10000.0,1.24,360.444,0.0,29.0,32.0,,,,,,,
http://dl-learner.org/nctrer/113,0.0,0.0,2420.0,22420.0,22420.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.38,-10000.0,,153.1784,0.0,11.0,11.0,,,,,,,
http://dl-learner.org/nctrer/114,0.0,0.0,2421.0,22421.0,22421.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.65,-10000.0,,232.2783,0.0,17.0,18.0,,,,,,,
http://dl-learner.org/nctrer/115,0.0,0.0,2422.0,22422.0,22422.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.18,-10000.0,,198.2637,0.0,15.0,16.0,,,,,,,
http://dl-learner.org/nctrer/116,0.0,0.0,1544.0,21544.0,22423.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.16,-10000.0,0.00088,128.5563,0.0,8.0,8.0,,,,,,,
http://dl-learner.org/nctrer/117,0.0,0.0,453.0,20453.0,22424.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.45,-10000.0,,380.9093,0.0,19.0,23.0,,,,,,,
http://dl-learner.org/nctrer/118,1.0,42.0,2425.0,22425.0,22425.0,0.0035,1.0,1.0,1.0,0.0,1.0,0.0,2.19,-2.46,0.0087,214.2167,0.0,16.0,17.0,,,,,,,
http://dl-learner.org/nctrer/119,0.0,0.0,442.0,20442.0,22426.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.62,-10000.0,,221.0374,0.0,13.0,13.0,,,,,,,
http://dl-learner.org/nctrer/12,0.0,0.0,2319.0,22319.0,22319.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.44,-10000.0,0.019,302.283,0.0,22.0,24.0,,,,,,,
http://dl-learner.org/nctrer/120,0.0,0.0,1094.0,21094.0,22427.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.22,-10000.0,,200.2365,0.0,15.0,16.0,,,,,,,
http://dl-learner.org/nctrer/121,0.0,0.0,2428.0,22428.0,22428.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.31,-10000.0,,360.406,0.0,26.0,28.0,,,,,,,
http://dl-learner.org/nctrer/122,1.0,36.0,2429.0,22429.0,22429.0,0.00089,1.0,1.0,1.0,0.0,1.0,0.0,2.8,-3.05,0.019,240.254,0.0,18.0,20.0,,,,,,,
http://dl-learner.org/nctrer/123,1.0,28.0,2430.0,22430.0,22430.0,0.00018,1.0,1.0,1.0,0.0,1.0,0.0,2.8,-3.73,0.019,240.258,0.0,18.0,20.0,,,,,,,
http://dl-learner.org/nctrer/124,0.0,0.0,1232.0,21232.0,22431.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.63,-10000.0,,604.473,0.0,38.0,38.0,,,,,,,
http://dl-learner.org/nctrer/125,0.0,0.0,2432.0,22432.0,22432.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.52,-10000.0,,228.2879,0.0,18.0,21.0,,,,,,,
http://dl-learner.org/nctrer/126,0.0,0.0,247.0,20247.0,22433.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.35,-10000.0,,201.2212,0.0,15.0,16.0,,,,,,,
http://dl-learner.org/nctrer/127,0.0,0.0,249.0,20249.0,22434.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.3,-10000.0,,221.2524,0.0,16.0,17.0,,,,,,,
http://dl-learner.org/nctrer/128,1.0,43.0,1824.0,21824.0,22435.0,0.0035,1.0,1.0,1.0,0.0,1.0,0.0,4.34,-2.45,0.0087,269.1233,0.0,17.0,18.0,,,,,,,
http://dl-learner.org/nctrer/129,1.0,35.0,2436.0,22436.0,22436.0,0.00074,1.0,1.0,1.0,0.0,1.0,0.0,3.39,-3.13,0.0087,286.3224,0.0,21.0,22.0,,,,,,,
http://dl-learner.org/nctrer/13,1.0,39.0,2320.0,22320.0,22320.0,0.00165,1.0,1.0,0.0,0.0,0.0,1.0,5.49,-2.78,2.14,256.341,0.0,20.0,22.0,,,,,,,
http://dl-learner.org/nctrer/130,1.0,53.0,2437.0,22437.0,22437.0,0.0309,1.0,1.0,1.0,0.0,1.0,0.0,4.64,-1.51,,302.3649,0.0,22.0,23.0,,,,,,,
http://dl-learner.org/nctrer/131,0.0,0.0,1151.0,21151.0,22438.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.28,-10000.0,0.0028,170.2072,0.0,13.0,14.0,,,,,,,
http://dl-learner.org/nctrer/132,1.0,29.0,2439.0,22439.0,22439.0,0.00021,1.0,1.0,1.0,0.0,1.0,0.0,3.95,-3.67,0.0087,320.3386,0.0,24.0,26.0,,,,,,,
http://dl-learner.org/nctrer/133,1.0,36.0,1152.0,21152.0,22440.0,0.00091,1.0,1.0,1.0,0.0,0.0,1.0,3.28,-3.04,0.0028,170.2072,0.0,13.0,14.0,,,,,,,
http://dl-learner.org/nctrer/134,1.0,84.0,2441.0,22441.0,22441.0,15.14,1.0,1.0,1.0,0.0,1.0,0.0,5.82,1.18,2.14,387.5206,0.0,29.0,31.0,,,,,,,
http://dl-learner.org/nctrer/135,1.0,58.0,2442.0,22442.0,22442.0,0.0851,1.0,1.0,1.0,0.0,1.0,0.0,4.13,-1.07,0.0087,242.3129,0.0,18.0,19.0,,,,,,,
http://dl-learner.org/nctrer/136,1.0,72.0,1367.0,21367.0,22443.0,1.38,1.0,1.0,0.0,0.0,0.0,1.0,6.56,0.14,2.14,598.0913,0.0,42.0,43.0,,,,,,,
http://dl-learner.org/nctrer/137,1.0,33.0,1771.0,21771.0,22444.0,0.00054,1.0,1.0,1.0,0.0,0.0,1.0,3.91,-3.26,0.00088,164.2441,0.0,12.0,12.0,,,,,,,
http://dl-learner.org/nctrer/138,1.0,36.0,2445.0,22445.0,22445.0,0.00095,1.0,1.0,1.0,0.0,1.0,0.0,3.06,-3.02,0.0087,200.2366,0.0,15.0,16.0,,,,,,,
http://dl-learner.org/nctrer/139,0.0,0.0,2446.0,22446.0,22446.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.06,-10000.0,0.0087,200.2366,0.0,15.0,16.0,,,,,,,
http://dl-learner.org/nctrer/14,0.0,0.0,869.0,20869.0,22321.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.37,-10000.0,,254.37,0.0,19.0,20.0,,,,,,,
http://dl-learner.org/nctrer/140,1.0,23.0,1977.0,21977.0,22447.0,6e-05,1.0,1.0,1.0,0.0,0.0,1.0,2.55,-4.17,0.00088,122.1644,0.0,9.0,9.0,,,,,,,
http://dl-learner.org/nctrer/141,0.0,0.0,2448.0,22448.0,22448.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.24,-10000.0,,283.7937,0.0,19.0,19.0,,,,,,,
http://dl-learner.org/nctrer/142,0.0,0.0,1124.0,21124.0,22449.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.51,-10000.0,0.00088,94.1112,0.0,7.0,7.0,,,,,,,
http://dl-learner.org/nctrer/143,0.0,0.0,2450.0,22450.0,22450.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.59,-10000.0,0.019,304.2556,0.0,22.0,24.0,,,,,,,
http://dl-learner.org/nctrer/144,1.0,44.0,2451.0,22451.0,22451.0,0.00446,1.0,1.0,1.0,0.0,1.0,0.0,2.07,-2.35,0.019,270.241,0.0,20.0,22.0,,,,,,,
http://dl-learner.org/nctrer/145,0.0,0.0,2452.0,22452.0,22452.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.07,-10000.0,0.019,270.241,0.0,20.0,22.0,,,,,,,
http://dl-learner.org/nctrer/146,1.0,41.0,2453.0,22453.0,22453.0,0.00281,1.0,1.0,1.0,0.0,1.0,0.0,3.18,-2.55,0.019,224.2546,0.0,17.0,18.0,,,,,,,
http://dl-learner.org/nctrer/147,0.0,0.0,1956.0,21956.0,22454.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.54,-10000.0,,390.5561,0.0,28.0,28.0,,,,,,,
http://dl-learner.org/nctrer/148,0.0,0.0,2455.0,22455.0,22455.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.66,-10000.0,,194.184,0.0,14.0,14.0,,,,,,,
http://dl-learner.org/nctrer/149,1.0,32.0,1717.0,21717.0,22456.0,0.00041,1.0,1.0,1.0,0.0,0.0,1.0,2.7,-3.38,0.00088,142.5847,0.0,9.0,9.0,,,,,,,
http://dl-learner.org/nctrer/15,0.0,0.0,2322.0,22322.0,22322.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.18,-10000.0,0.019,290.272,0.0,21.0,23.0,,,,,,,
http://dl-learner.org/nctrer/150,1.0,20.0,1869.0,21869.0,22457.0,3e-05,1.0,1.0,1.0,0.0,0.0,1.0,2.06,-4.5,0.00088,108.1378,0.0,8.0,8.0,,,,,,,
http://dl-learner.org/nctrer/151,1.0,43.0,2458.0,22458.0,22458.0,0.0037,1.0,1.0,1.0,0.0,1.0,0.0,3.18,-2.43,0.019,224.2546,0.0,17.0,18.0,,,,,,,
http://dl-learner.org/nctrer/152,0.0,0.0,2132.0,22459.0,22459.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.29,-10000.0,,206.2824,0.0,16.0,17.0,,,,,,,
http://dl-learner.org/nctrer/153,1.0,40.0,2460.0,22460.0,22460.0,0.00204,1.0,1.0,1.0,0.0,1.0,0.0,4.26,-2.69,2.14,198.264,0.0,15.0,16.0,,,,,,,
http://dl-learner.org/nctrer/154,1.0,54.0,2461.0,22461.0,22461.0,0.0363,1.0,1.0,1.0,0.0,1.0,0.0,3.78,-1.44,2.14,214.2634,0.0,16.0,17.0,,,,,,,
http://dl-learner.org/nctrer/155,1.0,31.0,2462.0,22462.0,22462.0,0.00036,1.0,1.0,1.0,0.0,0.0,0.0,3.28,-3.44,0.0028,170.2104,0.0,13.0,14.0,,,,,,,
http://dl-learner.org/nctrer/156,0.0,0.0,617.0,20617.0,22463.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.73,-10000.0,0.00088,164.2011,0.0,12.0,12.0,,,,,,,
http://dl-learner.org/nctrer/157,2.0,5.0,2464.0,22464.0,22464.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.04,-5000.0,2.14,196.2445,0.0,15.0,16.0,,,,,,,
http://dl-learner.org/nctrer/158,1.0,64.0,2465.0,22465.0,22465.0,0.282,1.0,1.0,1.0,0.0,1.0,0.0,3.56,-0.55,2.14,212.2439,0.0,16.0,17.0,,,,,,,
http://dl-learner.org/nctrer/159,1.0,56.0,2466.0,22466.0,22466.0,0.055,1.0,1.0,1.0,0.0,1.0,0.0,2.99,-1.26,0.019,256.2574,0.0,19.0,20.0,,,,,,,
http://dl-learner.org/nctrer/16,0.0,0.0,2048.0,22048.0,22323.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.51,-10000.0,0.019,222.2387,0.0,17.0,19.0,,,,,,,
http://dl-learner.org/nctrer/160,1.0,61.0,2467.0,22467.0,22467.0,0.15135,1.0,1.0,1.0,0.0,1.0,0.0,2.55,-0.82,0.019,254.2416,0.0,19.0,21.0,,,,,,,
http://dl-learner.org/nctrer/161,1.0,83.0,2468.0,22468.0,22468.0,14.45,1.0,1.0,1.0,0.0,1.0,0.0,4.66,1.16,2.14,240.297,0.0,18.0,19.0,,,,,,,
http://dl-learner.org/nctrer/162,1.0,85.0,2469.0,22469.0,22469.0,20.42,1.0,1.0,1.0,0.0,1.0,0.0,6.2,1.31,2.14,282.3816,0.0,21.0,22.0,,,,,,,
http://dl-learner.org/nctrer/163,1.0,67.0,2470.0,22470.0,22470.0,0.501,1.0,1.0,0.0,0.0,0.0,1.0,4.42,-0.3,1.24,256.3826,0.0,22.0,25.0,,,,,,,
http://dl-learner.org/nctrer/164,1.0,83.0,2471.0,22471.0,22471.0,13.8,1.0,1.0,1.0,0.0,0.0,1.0,5.48,1.14,1.24,256.3826,0.0,22.0,25.0,,,,,,,
http://dl-learner.org/nctrer/165,0.0,0.0,2472.0,22472.0,22472.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.01,-10000.0,,134.2182,0.0,10.0,10.0,,,,,,,
http://dl-learner.org/nctrer/166,0.0,0.0,384.0,20384.0,22473.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.72,-10000.0,1.24,392.4611,0.0,30.0,33.0,,,,,,,
http://dl-learner.org/nctrer/167,0.0,0.0,2474.0,22474.0,22474.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.99,-10000.0,1.24,346.4605,0.0,28.0,31.0,,,,,,,
http://dl-learner.org/nctrer/168,0.0,0.0,232.0,20232.0,22475.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16,-10000.0,,194.1906,0.0,14.0,15.0,,,,,,,
http://dl-learner.org/nctrer/169,0.0,0.0,1952.0,21952.0,22476.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.7,-10000.0,,326.2831,0.0,23.0,25.0,,,,,,,
http://dl-learner.org/nctrer/17,0.0,0.0,2324.0,22324.0,22324.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.83,-10000.0,0.019,432.383,0.0,31.0,34.0,,,,,,,
http://dl-learner.org/nctrer/170,0.0,0.0,2477.0,22477.0,22477.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.23,-10000.0,,216.2818,0.0,17.0,20.0,,,,,,,
http://dl-learner.org/nctrer/171,0.0,0.0,2478.0,22478.0,22478.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-0.52,-10000.0,0.019,580.5346,0.0,41.0,45.0,,,,,,,
http://dl-learner.org/nctrer/172,2.0,5.0,2479.0,22479.0,22479.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.55,-5000.0,0.00088,122.1644,0.0,9.0,9.0,,,,,,,
http://dl-learner.org/nctrer/173,1.0,27.0,2480.0,22480.0,22480.0,0.00013,1.0,1.0,1.0,0.0,0.0,1.0,2.55,-3.87,0.00088,122.1644,0.0,9.0,9.0,,,,,,,
http://dl-learner.org/nctrer/174,0.0,0.0,2481.0,22481.0,22481.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,9.65,-10000.0,1.24,414.7067,0.0,34.0,37.0,,,,,,,
http://dl-learner.org/nctrer/175,1.0,60.0,2482.0,22482.0,22482.0,0.129,1.0,1.0,1.0,0.0,1.0,0.0,5.11,-0.89,0.0087,331.6255,0.0,20.0,21.0,,,,,,,
http://dl-learner.org/nctrer/176,1.0,38.0,2483.0,22483.0,22483.0,0.00131,1.0,1.0,1.0,0.0,0.0,1.0,4.54,-2.88,0.00088,208.2967,0.0,15.0,15.0,,,,,,,
http://dl-learner.org/nctrer/177,1.0,63.0,2484.0,22484.0,22484.0,0.234,1.0,1.0,1.0,0.0,1.0,0.0,4.31,-0.63,0.0087,295.1606,0.0,19.0,20.0,,,,,,,
http://dl-learner.org/nctrer/178,1.0,75.0,2485.0,22485.0,22485.0,2.63,1.0,1.0,1.0,0.0,1.0,0.0,3.75,0.42,0.0087,281.134,0.0,18.0,19.0,,,,,,,
http://dl-learner.org/nctrer/179,0.0,0.0,606.0,20606.0,22486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.12,-10000.0,,370.5665,0.0,26.0,25.0,,,,,,,
http://dl-learner.org/nctrer/18,1.0,63.0,2325.0,22325.0,22325.0,0.2512,1.0,1.0,1.0,0.0,1.0,0.0,4.55,-0.6,0.0087,317.5949,0.0,19.0,20.0,,,,,,,
http://dl-learner.org/nctrer/180,1.0,40.0,2487.0,22487.0,22487.0,0.00223,1.0,1.0,1.0,0.0,1.0,0.0,2.8,-2.65,0.019,240.254,0.0,18.0,20.0,,,,,,,
http://dl-learner.org/nctrer/181,0.0,0.0,2488.0,22488.0,22488.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.07,-10000.0,1.24,290.4403,0.0,25.0,28.0,,,,,,,
http://dl-learner.org/nctrer/182,0.0,0.0,2489.0,22489.0,22489.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.07,-10000.0,,148.161,0.0,11.0,11.0,,,,,,,
http://dl-learner.org/nctrer/183,0.0,0.0,152.0,20152.0,22490.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.08,-10000.0,,108.1378,0.0,8.0,8.0,,,,,,,
http://dl-learner.org/nctrer/184,0.0,0.0,1597.0,21597.0,22491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,-10000.0,,114.1855,0.0,8.0,7.0,,,,,,,
http://dl-learner.org/nctrer/185,0.0,0.0,1931.0,21931.0,22492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,-10000.0,,102.1748,0.0,7.0,6.0,,,,,,,
http://dl-learner.org/nctrer/186,0.0,0.0,2247.0,22247.0,22493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.68,-10000.0,,222.3663,0.0,16.0,15.0,,,,,,,
http://dl-learner.org/nctrer/187,1.0,56.0,2494.0,22494.0,22494.0,0.056,1.0,1.0,0.0,0.0,0.0,1.0,6.76,-1.25,2.14,296.4084,0.0,22.0,23.0,,,,,,,
http://dl-learner.org/nctrer/188,1.0,67.0,2495.0,22495.0,22495.0,0.513,1.0,1.0,1.0,0.0,0.0,1.0,3.43,-0.29,1.24,270.3706,0.0,23.0,26.0,,,,,,,
http://dl-learner.org/nctrer/189,1.0,39.0,2496.0,22496.0,22496.0,0.00181,1.0,1.0,0.0,0.0,0.0,1.0,5.76,-2.74,,298.3762,0.0,23.0,25.0,,,,,,,
http://dl-learner.org/nctrer/19,1.0,24.0,2326.0,22326.0,22326.0,8e-05,1.0,1.0,1.0,0.0,1.0,0.0,-1.11,-4.09,0.019,610.5244,0.0,43.0,47.0,,,,,,,
http://dl-learner.org/nctrer/190,1.0,81.0,2497.0,22497.0,22497.0,9.33,1.0,1.0,1.0,0.0,1.0,0.0,6.16,0.97,2.14,284.3927,0.0,21.0,22.0,,,,,,,
http://dl-learner.org/nctrer/191,1.0,45.0,2498.0,22498.0,22498.0,0.0063,1.0,1.0,0.0,0.0,0.0,1.0,3.91,-2.2,1.24,254.3712,0.0,22.0,25.0,,,,,,,
http://dl-learner.org/nctrer/192,1.0,52.0,2499.0,22499.0,22499.0,0.0224,1.0,1.0,0.0,0.0,0.0,1.0,3.37,-1.65,1.24,302.4079,0.0,25.0,28.0,,,,,,,
http://dl-learner.org/nctrer/193,1.0,54.0,2500.0,22500.0,22500.0,0.0331,1.0,1.0,0.0,0.0,0.0,1.0,3.83,-1.48,1.24,316.4345,0.0,26.0,29.0,,,,,,,
http://dl-learner.org/nctrer/194,1.0,77.0,2501.0,22501.0,22501.0,3.98,1.0,1.0,1.0,0.0,1.0,0.0,6.62,0.6,2.14,268.398,0.0,20.0,21.0,,,,,,,
http://dl-learner.org/nctrer/195,1.0,63.0,2502.0,22502.0,22502.0,0.209,1.0,1.0,1.0,0.0,1.0,0.0,3.19,-0.68,2.14,274.2294,0.0,20.0,21.0,,,,,,,
http://dl-learner.org/nctrer/196,1.0,84.0,2503.0,22503.0,22503.0,15.49,1.0,1.0,1.0,0.0,1.0,0.0,4.64,1.19,2.14,302.3649,0.0,22.0,23.0,,,,,,,
http://dl-learner.org/nctrer/197,1.0,81.0,2504.0,22504.0,22504.0,8.91,1.0,1.0,1.0,0.0,1.0,0.0,6.69,0.95,2.14,298.4242,0.0,22.0,23.0,,,,,,,
http://dl-learner.org/nctrer/198,1.0,70.0,2505.0,22505.0,22505.0,0.891,1.0,1.0,1.0,0.0,1.0,0.0,3.92,-0.05,0.019,296.322,0.0,22.0,24.0,,,,,,,
http://dl-learner.org/nctrer/199,1.0,70.0,2506.0,22506.0,22506.0,0.955,1.0,1.0,1.0,0.0,0.0,1.0,4.76,-0.02,,272.3432,0.0,20.0,21.0,,,,,,,
http://dl-learner.org/nctrer/2,1.0,61.0,2309.0,22309.0,22309.0,0.151,1.0,1.0,1.0,0.0,1.0,0.0,3.67,-0.82,0.019,242.2699,0.0,18.0,20.0,,,,,,,
http://dl-learner.org/nctrer/20,1.0,32.0,2327.0,22327.0,22327.0,0.00038,1.0,1.0,1.0,0.0,1.0,0.0,3.03,-3.41,0.019,238.2381,0.0,18.0,20.0,,,,,,,
http://dl-learner.org/nctrer/200,1.0,31.0,717.0,20717.0,22507.0,0.00036,1.0,1.0,1.0,0.0,1.0,0.0,3.3,-3.44,0.00088,200.2332,0.0,15.0,16.0,,,,,,,
http://dl-learner.org/nctrer/201,1.0,51.0,2508.0,22508.0,22508.0,0.0186,1.0,1.0,1.0,0.0,0.0,1.0,7.46,-1.73,0.00088,262.4302,0.0,19.0,19.0,,,,,,,
http://dl-learner.org/nctrer/202,1.0,36.0,209.0,20209.0,22509.0,0.00085,1.0,1.0,1.0,0.0,0.0,1.0,3.47,-3.07,0.00088,194.2271,0.0,14.0,14.0,,,,,,,
http://dl-learner.org/nctrer/203,1.0,29.0,2510.0,22510.0,22510.0,0.00021,1.0,1.0,1.0,0.0,0.0,1.0,2.7,-3.67,0.00088,142.5829,0.0,9.0,9.0,,,,,,,
http://dl-learner.org/nctrer/204,1.0,30.0,2511.0,22511.0,22511.0,0.00024,1.0,1.0,0.0,0.0,0.0,1.0,5.05,-3.61,0.0028,223.0979,0.0,14.0,15.0,,,,,,,
http://dl-learner.org/nctrer/205,1.0,29.0,2512.0,22512.0,22512.0,0.00021,1.0,1.0,1.0,0.0,0.0,1.0,2.7,-3.66,0.00088,142.5847,0.0,9.0,9.0,,,,,,,
http://dl-learner.org/nctrer/206,0.0,0.0,2513.0,22513.0,22513.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.34,-10000.0,0.0028,291.988,0.0,16.0,17.0,,,,,,,
http://dl-learner.org/nctrer/207,2.0,5.0,2514.0,22514.0,22514.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.34,-5000.0,0.0028,291.9914,0.0,16.0,17.0,,,,,,,
http://dl-learner.org/nctrer/208,0.0,0.0,2515.0,22515.0,22515.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.05,-10000.0,0.0028,223.0979,0.0,14.0,15.0,,,,,,,
http://dl-learner.org/nctrer/209,1.0,69.0,2516.0,22516.0,22516.0,0.708,1.0,1.0,1.0,0.0,0.0,1.0,2.81,-0.15,1.24,288.3858,0.0,24.0,27.0,,,,,,,
http://dl-learner.org/nctrer/21,0.0,0.0,2328.0,22328.0,22328.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.03,-10000.0,0.019,238.2381,0.0,18.0,20.0,,,,,,,
http://dl-learner.org/nctrer/210,1.0,63.0,563.0,21069.0,22517.0,0.214,1.0,0.0,0.0,1.0,0.0,1.0,3.51,-0.67,1.24,298.4192,0.0,25.0,28.0,,,,,,,
http://dl-learner.org/nctrer/211,2.0,5.0,2518.0,22518.0,22518.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.87,-5000.0,0.0087,309.1872,0.0,20.0,21.0,,,,,,,
http://dl-learner.org/nctrer/212,0.0,0.0,2519.0,22519.0,22519.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,-10000.0,,441.3975,0.0,32.0,34.0,,,,,,,
http://dl-learner.org/nctrer/213,0.0,0.0,2520.0,22520.0,22520.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.85,-10000.0,,176.2146,0.0,13.0,13.0,,,,,,,
