,label,has_action,match,player,team,scorer_away,scorer_home,team_away,team_away_formation,team_home,team_home_formation
http://dl-learner.org/res/player10561,2,"['http://dl-learner.org/res/action1056110739', 'http://dl-learner.org/res/action1056113939', 'http://dl-learner.org/res/action1056114039', 'http://dl-learner.org/res/action1056116939', 'http://dl-learner.org/res/action1056117039', 'http://dl-learner.org/res/action1056119739', 'http://dl-learner.org/res/action1056119839', 'http://dl-learner.org/res/action1056122339', 'http://dl-learner.org/res/action1056122439', 'http://dl-learner.org/res/action1056124739', 'http://dl-learner.org/res/action1056126939', 'http://dl-learner.org/res/action1056127039', 'http://dl-learner.org/res/action1056128939', 'http://dl-learner.org/res/action1056130739', 'http://dl-learner.org/res/action1056130839', 'http://dl-learner.org/res/action1056132339', 'http://dl-learner.org/res/action1056133739', 'http://dl-learner.org/res/action1056134939', 'http://dl-learner.org/res/action1056135039', 'http://dl-learner.org/res/action1056136039', 'http://dl-learner.org/res/action1056136739', 'http://dl-learner.org/res/action1056136839', 'http://dl-learner.org/res/action1056137339', 'http://dl-learner.org/res/action105613739', 'http://dl-learner.org/res/action1056137439', 'http://dl-learner.org/res/action1056137739', 'http://dl-learner.org/res/action1056137939', 'http://dl-learner.org/res/action1056138039', 'http://dl-learner.org/res/action105613839', 'http://dl-learner.org/res/action105617339', 'http://dl-learner.org/res/action105617439']",,,,,,,,,
http://dl-learner.org/res/player1059,2,"['http://dl-learner.org/res/action105912552', 'http://dl-learner.org/res/action105918352', 'http://dl-learner.org/res/action105923352', 'http://dl-learner.org/res/action10592352', 'http://dl-learner.org/res/action105925552', 'http://dl-learner.org/res/action105927552', 'http://dl-learner.org/res/action105929352', 'http://dl-learner.org/res/action105929452', 'http://dl-learner.org/res/action105930952', 'http://dl-learner.org/res/action105931052', 'http://dl-learner.org/res/action105932552', 'http://dl-learner.org/res/action105932752', 'http://dl-learner.org/res/action105933152', 'http://dl-learner.org/res/action105933352', 'http://dl-learner.org/res/action105933552', 'http://dl-learner.org/res/action105933752', 'http://dl-learner.org/res/action10599452']",,,,,,,,,
http://dl-learner.org/res/player106603,2,"['http://dl-learner.org/res/action1066032871', 'http://dl-learner.org/res/action1066032891']",,,,,,,,,
http://dl-learner.org/res/player10738,2,"['http://dl-learner.org/res/action10738397', 'http://dl-learner.org/res/action10738417', 'http://dl-learner.org/res/action10738437', 'http://dl-learner.org/res/action10738457', 'http://dl-learner.org/res/action10738467', 'http://dl-learner.org/res/action10738477', 'http://dl-learner.org/res/action10738517', 'http://dl-learner.org/res/action10738527', 'http://dl-learner.org/res/action10738537', 'http://dl-learner.org/res/action10738557', 'http://dl-learner.org/res/action10738567', 'http://dl-learner.org/res/action10738577', 'http://dl-learner.org/res/action10738607', 'http://dl-learner.org/res/action10738637', 'http://dl-learner.org/res/action10738657', 'http://dl-learner.org/res/action10738667', 'http://dl-learner.org/res/action10738677', 'http://dl-learner.org/res/action10738697', 'http://dl-learner.org/res/action10738717', 'http://dl-learner.org/res/action10738727', 'http://dl-learner.org/res/action10738737', 'http://dl-learner.org/res/action10738747']",,,,,,,,,
http://dl-learner.org/res/player107853,2,['http://dl-learner.org/res/action10785311454'],,,,,,,,,
http://dl-learner.org/res/player10954,1,"['http://dl-learner.org/res/action10954835', 'http://dl-learner.org/res/action10954875', 'http://dl-learner.org/res/action10954965']",,,,,,,,,
http://dl-learner.org/res/player11078,2,"['http://dl-learner.org/res/action1107818245', 'http://dl-learner.org/res/action1107820845', 'http://dl-learner.org/res/action1107823245', 'http://dl-learner.org/res/action1107825445', 'http://dl-learner.org/res/action1107827445', 'http://dl-learner.org/res/action1107829245', 'http://dl-learner.org/res/action1107831245', 'http://dl-learner.org/res/action1107831645', 'http://dl-learner.org/res/action1107831845', 'http://dl-learner.org/res/action1107832245', 'http://dl-learner.org/res/action1107832445', 'http://dl-learner.org/res/action110789245']",,,,,,,,,
http://dl-learner.org/res/player11248,2,"['http://dl-learner.org/res/action1124826056', 'http://dl-learner.org/res/action1124832856', 'http://dl-learner.org/res/action112489856']",,,,,,,,,
http://dl-learner.org/res/player11278,2,"['http://dl-learner.org/res/action112781098', 'http://dl-learner.org/res/action112781418', 'http://dl-learner.org/res/action112781428', 'http://dl-learner.org/res/action112781438', 'http://dl-learner.org/res/action112781478', 'http://dl-learner.org/res/action112781488', 'http://dl-learner.org/res/action112781498', 'http://dl-learner.org/res/action112781508', 'http://dl-learner.org/res/action112781528', 'http://dl-learner.org/res/action112781538', 'http://dl-learner.org/res/action112781548', 'http://dl-learner.org/res/action112781558', 'http://dl-learner.org/res/action112781568', 'http://dl-learner.org/res/action112781578', 'http://dl-learner.org/res/action112781598', 'http://dl-learner.org/res/action112781608', 'http://dl-learner.org/res/action112781618', 'http://dl-learner.org/res/action112781628', 'http://dl-learner.org/res/action112781638', 'http://dl-learner.org/res/action112781648', 'http://dl-learner.org/res/action112781658', 'http://dl-learner.org/res/action112781678', 'http://dl-learner.org/res/action112781698', 'http://dl-learner.org/res/action112781708', 'http://dl-learner.org/res/action11278438', 'http://dl-learner.org/res/action1127878', 'http://dl-learner.org/res/action1127888']",,,,,,,,,
http://dl-learner.org/res/player1131,2,"['http://dl-learner.org/res/action113115956', 'http://dl-learner.org/res/action113118756', 'http://dl-learner.org/res/action113128056', 'http://dl-learner.org/res/action113131356', 'http://dl-learner.org/res/action113132756', 'http://dl-learner.org/res/action113133956', 'http://dl-learner.org/res/action113135356', 'http://dl-learner.org/res/action11319756']",,,,,,,,,
http://dl-learner.org/res/player11334,1,"['http://dl-learner.org/res/action113341098', 'http://dl-learner.org/res/action113341108', 'http://dl-learner.org/res/action113341418', 'http://dl-learner.org/res/action113341428', 'http://dl-learner.org/res/action113341438', 'http://dl-learner.org/res/action113341448', 'http://dl-learner.org/res/action113341458', 'http://dl-learner.org/res/action113341478', 'http://dl-learner.org/res/action113341488', 'http://dl-learner.org/res/action113341498', 'http://dl-learner.org/res/action113341508', 'http://dl-learner.org/res/action113341518', 'http://dl-learner.org/res/action113341528', 'http://dl-learner.org/res/action113341548', 'http://dl-learner.org/res/action113341558', 'http://dl-learner.org/res/action113341568', 'http://dl-learner.org/res/action113341578', 'http://dl-learner.org/res/action113341588', 'http://dl-learner.org/res/action113341598', 'http://dl-learner.org/res/action113341608', 'http://dl-learner.org/res/action113341618', 'http://dl-learner.org/res/action113341628', 'http://dl-learner.org/res/action113341638', 'http://dl-learner.org/res/action113341648', 'http://dl-learner.org/res/action113341668', 'http://dl-learner.org/res/action113341678', 'http://dl-learner.org/res/action113341688', 'http://dl-learner.org/res/action113341698', 'http://dl-learner.org/res/action113341708', 'http://dl-learner.org/res/action11334438', 'http://dl-learner.org/res/action11334448', 'http://dl-learner.org/res/action11334778', 'http://dl-learner.org/res/action1133478', 'http://dl-learner.org/res/action1133488']",,,,,,,,,
http://dl-learner.org/res/player11378,2,"['http://dl-learner.org/res/action113781214', 'http://dl-learner.org/res/action113781224', 'http://dl-learner.org/res/action113781524', 'http://dl-learner.org/res/action113781804', 'http://dl-learner.org/res/action11378204', 'http://dl-learner.org/res/action113782064', 'http://dl-learner.org/res/action113782294', 'http://dl-learner.org/res/action113782304', 'http://dl-learner.org/res/action113782524', 'http://dl-learner.org/res/action113782724', 'http://dl-learner.org/res/action113782924', 'http://dl-learner.org/res/action113782944', 'http://dl-learner.org/res/action113782964', 'http://dl-learner.org/res/action113782974', 'http://dl-learner.org/res/action113782984', 'http://dl-learner.org/res/action113783004', 'http://dl-learner.org/res/action113783024', 'http://dl-learner.org/res/action113783044', 'http://dl-learner.org/res/action113783064', 'http://dl-learner.org/res/action113783084', 'http://dl-learner.org/res/action11378564', 'http://dl-learner.org/res/action11378904']",,,,,,,,,
http://dl-learner.org/res/player114042,2,"['http://dl-learner.org/res/action114042507', 'http://dl-learner.org/res/action114042547', 'http://dl-learner.org/res/action114042707']",,,,,,,,,
http://dl-learner.org/res/player11467,2,"['http://dl-learner.org/res/action1146710435', 'http://dl-learner.org/res/action1146713635', 'http://dl-learner.org/res/action1146719335', 'http://dl-learner.org/res/action1146719435', 'http://dl-learner.org/res/action1146724335', 'http://dl-learner.org/res/action1146724435', 'http://dl-learner.org/res/action1146726535', 'http://dl-learner.org/res/action1146726635', 'http://dl-learner.org/res/action1146730335', 'http://dl-learner.org/res/action1146730435', 'http://dl-learner.org/res/action114673335', 'http://dl-learner.org/res/action1146733435', 'http://dl-learner.org/res/action114673435', 'http://dl-learner.org/res/action1146737035', 'http://dl-learner.org/res/action1146737635', 'http://dl-learner.org/res/action1146737735', 'http://dl-learner.org/res/action114676935', 'http://dl-learner.org/res/action114677035']",,,,,,,,,
http://dl-learner.org/res/player11721,0,"['http://dl-learner.org/res/action11721128110', 'http://dl-learner.org/res/action11721158110', 'http://dl-learner.org/res/action11721186110', 'http://dl-learner.org/res/action11721212110', 'http://dl-learner.org/res/action11721236110', 'http://dl-learner.org/res/action11721257110', 'http://dl-learner.org/res/action11721278110', 'http://dl-learner.org/res/action11721325110', 'http://dl-learner.org/res/action11721326110', 'http://dl-learner.org/res/action11721340110', 'http://dl-learner.org/res/action11721348110', 'http://dl-learner.org/res/action11721349110', 'http://dl-learner.org/res/action1172162110']",,,,,,,,,
http://dl-learner.org/res/player11735,2,"['http://dl-learner.org/res/action117351254', 'http://dl-learner.org/res/action1173517154', 'http://dl-learner.org/res/action1173520154', 'http://dl-learner.org/res/action1173520554', 'http://dl-learner.org/res/action1173520654', 'http://dl-learner.org/res/action1173520754', 'http://dl-learner.org/res/action1173520954', 'http://dl-learner.org/res/action1173521154', 'http://dl-learner.org/res/action1173521754', 'http://dl-learner.org/res/action1173521954', 'http://dl-learner.org/res/action1173522054', 'http://dl-learner.org/res/action1173522154', 'http://dl-learner.org/res/action1173522354', 'http://dl-learner.org/res/action117358154']",,,,,,,,,
http://dl-learner.org/res/player11829,2,"['http://dl-learner.org/res/action1182916180', 'http://dl-learner.org/res/action1182918980', 'http://dl-learner.org/res/action1182919080', 'http://dl-learner.org/res/action1182921580', 'http://dl-learner.org/res/action1182921680', 'http://dl-learner.org/res/action1182923980', 'http://dl-learner.org/res/action1182924080', 'http://dl-learner.org/res/action1182926180', 'http://dl-learner.org/res/action1182926280', 'http://dl-learner.org/res/action1182928180', 'http://dl-learner.org/res/action1182929980', 'http://dl-learner.org/res/action1182930080', 'http://dl-learner.org/res/action118293080', 'http://dl-learner.org/res/action1182931580', 'http://dl-learner.org/res/action1182931680', 'http://dl-learner.org/res/action1182932980', 'http://dl-learner.org/res/action1182933080', 'http://dl-learner.org/res/action1182934180', 'http://dl-learner.org/res/action1182935180', 'http://dl-learner.org/res/action1182935280', 'http://dl-learner.org/res/action1182936280', 'http://dl-learner.org/res/action1182936380', 'http://dl-learner.org/res/action1182936480', 'http://dl-learner.org/res/action1182936580', 'http://dl-learner.org/res/action1182936780', 'http://dl-learner.org/res/action118296580', 'http://dl-learner.org/res/action118296680', 'http://dl-learner.org/res/action118299980']",,,,,,,,,
http://dl-learner.org/res/player11883,2,"['http://dl-learner.org/res/action1188321680', 'http://dl-learner.org/res/action1188326180', 'http://dl-learner.org/res/action1188328280', 'http://dl-learner.org/res/action1188333080', 'http://dl-learner.org/res/action1188336680']",,,,,,,,,
http://dl-learner.org/res/player11911,2,"['http://dl-learner.org/res/action11911105111', 'http://dl-learner.org/res/action11911106111', 'http://dl-learner.org/res/action11911137111', 'http://dl-learner.org/res/action11911138111', 'http://dl-learner.org/res/action11911167111', 'http://dl-learner.org/res/action11911168111', 'http://dl-learner.org/res/action11911195111', 'http://dl-learner.org/res/action11911196111', 'http://dl-learner.org/res/action11911221111', 'http://dl-learner.org/res/action11911222111', 'http://dl-learner.org/res/action11911245111', 'http://dl-learner.org/res/action11911246111', 'http://dl-learner.org/res/action11911267111', 'http://dl-learner.org/res/action11911268111', 'http://dl-learner.org/res/action11911287111', 'http://dl-learner.org/res/action11911288111', 'http://dl-learner.org/res/action11911305111', 'http://dl-learner.org/res/action11911306111', 'http://dl-learner.org/res/action11911321111', 'http://dl-learner.org/res/action11911322111', 'http://dl-learner.org/res/action11911335111', 'http://dl-learner.org/res/action11911336111', 'http://dl-learner.org/res/action11911347111', 'http://dl-learner.org/res/action11911348111', 'http://dl-learner.org/res/action1191135111', 'http://dl-learner.org/res/action11911357111', 'http://dl-learner.org/res/action1191136111', 'http://dl-learner.org/res/action11911365111', 'http://dl-learner.org/res/action11911366111', 'http://dl-learner.org/res/action11911371111', 'http://dl-learner.org/res/action11911372111', 'http://dl-learner.org/res/action11911375111', 'http://dl-learner.org/res/action11911376111', 'http://dl-learner.org/res/action11911380111', 'http://dl-learner.org/res/action1191171111', 'http://dl-learner.org/res/action1191172111']",,,,,,,,,
http://dl-learner.org/res/player1195,2,"['http://dl-learner.org/res/action119511354', 'http://dl-learner.org/res/action11951154', 'http://dl-learner.org/res/action119517154', 'http://dl-learner.org/res/action119519954', 'http://dl-learner.org/res/action119520354', 'http://dl-learner.org/res/action119520554', 'http://dl-learner.org/res/action119520654', 'http://dl-learner.org/res/action119520954', 'http://dl-learner.org/res/action119521054', 'http://dl-learner.org/res/action119521154', 'http://dl-learner.org/res/action119521354', 'http://dl-learner.org/res/action119521554', 'http://dl-learner.org/res/action119521654', 'http://dl-learner.org/res/action119522154', 'http://dl-learner.org/res/action119522354', 'http://dl-learner.org/res/action119522454', 'http://dl-learner.org/res/action11954754', 'http://dl-learner.org/res/action11954854', 'http://dl-learner.org/res/action11958154', 'http://dl-learner.org/res/action11958254']",,,,,,,,,
http://dl-learner.org/res/player12002,2,"['http://dl-learner.org/res/action1200211514', 'http://dl-learner.org/res/action1200211614', 'http://dl-learner.org/res/action120021314', 'http://dl-learner.org/res/action120021414', 'http://dl-learner.org/res/action1200214514', 'http://dl-learner.org/res/action1200214614', 'http://dl-learner.org/res/action1200217314', 'http://dl-learner.org/res/action1200217414', 'http://dl-learner.org/res/action1200219914', 'http://dl-learner.org/res/action1200220014', 'http://dl-learner.org/res/action1200222514', 'http://dl-learner.org/res/action1200222614', 'http://dl-learner.org/res/action1200222714', 'http://dl-learner.org/res/action1200222814', 'http://dl-learner.org/res/action1200222914', 'http://dl-learner.org/res/action1200223014', 'http://dl-learner.org/res/action1200223114', 'http://dl-learner.org/res/action1200223214', 'http://dl-learner.org/res/action1200223314', 'http://dl-learner.org/res/action1200223414', 'http://dl-learner.org/res/action1200223514', 'http://dl-learner.org/res/action1200223614', 'http://dl-learner.org/res/action1200223714', 'http://dl-learner.org/res/action1200223814', 'http://dl-learner.org/res/action1200223914', 'http://dl-learner.org/res/action1200224014', 'http://dl-learner.org/res/action1200224114', 'http://dl-learner.org/res/action1200224214', 'http://dl-learner.org/res/action1200224314', 'http://dl-learner.org/res/action1200224414', 'http://dl-learner.org/res/action1200224514', 'http://dl-learner.org/res/action1200224614', 'http://dl-learner.org/res/action1200224714', 'http://dl-learner.org/res/action120024914', 'http://dl-learner.org/res/action120025014', 'http://dl-learner.org/res/action120028314']",,,,,,,,,
http://dl-learner.org/res/player1212,2,"['http://dl-learner.org/res/action121212652', 'http://dl-learner.org/res/action121215552', 'http://dl-learner.org/res/action121215652', 'http://dl-learner.org/res/action121218452', 'http://dl-learner.org/res/action121220952', 'http://dl-learner.org/res/action121221052', 'http://dl-learner.org/res/action121223352', 'http://dl-learner.org/res/action12122352', 'http://dl-learner.org/res/action12122452', 'http://dl-learner.org/res/action121225552', 'http://dl-learner.org/res/action121225652', 'http://dl-learner.org/res/action121227552', 'http://dl-learner.org/res/action121227652', 'http://dl-learner.org/res/action121229352', 'http://dl-learner.org/res/action121229452', 'http://dl-learner.org/res/action121230952', 'http://dl-learner.org/res/action121231052', 'http://dl-learner.org/res/action121232552', 'http://dl-learner.org/res/action121232652', 'http://dl-learner.org/res/action121232752', 'http://dl-learner.org/res/action121232852', 'http://dl-learner.org/res/action121233052', 'http://dl-learner.org/res/action121233152', 'http://dl-learner.org/res/action121233352', 'http://dl-learner.org/res/action121233452', 'http://dl-learner.org/res/action121233652', 'http://dl-learner.org/res/action121233752', 'http://dl-learner.org/res/action121233852', 'http://dl-learner.org/res/action12125952', 'http://dl-learner.org/res/action12126052', 'http://dl-learner.org/res/action12129352', 'http://dl-learner.org/res/action12129452']",,,,,,,,,
http://dl-learner.org/res/player12150,2,"['http://dl-learner.org/res/action12150127110', 'http://dl-learner.org/res/action12150128110', 'http://dl-learner.org/res/action12150157110', 'http://dl-learner.org/res/action12150185110', 'http://dl-learner.org/res/action12150186110', 'http://dl-learner.org/res/action12150211110', 'http://dl-learner.org/res/action12150212110', 'http://dl-learner.org/res/action12150236110', 'http://dl-learner.org/res/action1215025110', 'http://dl-learner.org/res/action12150258110', 'http://dl-learner.org/res/action1215026110', 'http://dl-learner.org/res/action12150277110', 'http://dl-learner.org/res/action12150295110', 'http://dl-learner.org/res/action12150296110', 'http://dl-learner.org/res/action12150311110', 'http://dl-learner.org/res/action12150312110', 'http://dl-learner.org/res/action12150325110', 'http://dl-learner.org/res/action12150326110', 'http://dl-learner.org/res/action12150340110', 'http://dl-learner.org/res/action12150341110', 'http://dl-learner.org/res/action12150342110', 'http://dl-learner.org/res/action12150343110', 'http://dl-learner.org/res/action12150344110', 'http://dl-learner.org/res/action12150345110', 'http://dl-learner.org/res/action12150346110', 'http://dl-learner.org/res/action12150348110', 'http://dl-learner.org/res/action12150349110', 'http://dl-learner.org/res/action12150350110', 'http://dl-learner.org/res/action1215095110', 'http://dl-learner.org/res/action1215096110']",,,,,,,,,
http://dl-learner.org/res/player1216,2,"['http://dl-learner.org/res/action121612552', 'http://dl-learner.org/res/action121612652', 'http://dl-learner.org/res/action121615552', 'http://dl-learner.org/res/action121615652', 'http://dl-learner.org/res/action121618452', 'http://dl-learner.org/res/action121621052', 'http://dl-learner.org/res/action121623352', 'http://dl-learner.org/res/action12162452', 'http://dl-learner.org/res/action121625552', 'http://dl-learner.org/res/action121625652', 'http://dl-learner.org/res/action121627552', 'http://dl-learner.org/res/action121627652', 'http://dl-learner.org/res/action121629452', 'http://dl-learner.org/res/action121630952', 'http://dl-learner.org/res/action121631052', 'http://dl-learner.org/res/action121632552', 'http://dl-learner.org/res/action121632652', 'http://dl-learner.org/res/action121632952', 'http://dl-learner.org/res/action121633052', 'http://dl-learner.org/res/action121633252', 'http://dl-learner.org/res/action121633452', 'http://dl-learner.org/res/action121633652']",,,,,,,,,
http://dl-learner.org/res/player12297,0,"['http://dl-learner.org/res/action12297103', 'http://dl-learner.org/res/action12297113', 'http://dl-learner.org/res/action12297123', 'http://dl-learner.org/res/action1229713', 'http://dl-learner.org/res/action12297133', 'http://dl-learner.org/res/action12297143', 'http://dl-learner.org/res/action12297153', 'http://dl-learner.org/res/action12297163', 'http://dl-learner.org/res/action12297173', 'http://dl-learner.org/res/action12297183', 'http://dl-learner.org/res/action12297193', 'http://dl-learner.org/res/action12297203', 'http://dl-learner.org/res/action12297213', 'http://dl-learner.org/res/action12297223', 'http://dl-learner.org/res/action1229723', 'http://dl-learner.org/res/action12297233', 'http://dl-learner.org/res/action12297243', 'http://dl-learner.org/res/action12297253', 'http://dl-learner.org/res/action12297263', 'http://dl-learner.org/res/action12297273', 'http://dl-learner.org/res/action12297283', 'http://dl-learner.org/res/action12297293', 'http://dl-learner.org/res/action12297303', 'http://dl-learner.org/res/action12297313', 'http://dl-learner.org/res/action12297323', 'http://dl-learner.org/res/action1229733', 'http://dl-learner.org/res/action12297333', 'http://dl-learner.org/res/action12297343', 'http://dl-learner.org/res/action12297353', 'http://dl-learner.org/res/action12297363', 'http://dl-learner.org/res/action12297373', 'http://dl-learner.org/res/action12297383', 'http://dl-learner.org/res/action1229743', 'http://dl-learner.org/res/action1229753', 'http://dl-learner.org/res/action1229763', 'http://dl-learner.org/res/action1229773', 'http://dl-learner.org/res/action1229783', 'http://dl-learner.org/res/action1229793']",,,,,,,,,
http://dl-learner.org/res/player12303,2,"['http://dl-learner.org/res/action123031098', 'http://dl-learner.org/res/action123031108', 'http://dl-learner.org/res/action123031418', 'http://dl-learner.org/res/action123031438', 'http://dl-learner.org/res/action123031448', 'http://dl-learner.org/res/action123031458', 'http://dl-learner.org/res/action123031478', 'http://dl-learner.org/res/action123031488', 'http://dl-learner.org/res/action123031518', 'http://dl-learner.org/res/action123031528', 'http://dl-learner.org/res/action123031538', 'http://dl-learner.org/res/action123031558', 'http://dl-learner.org/res/action123031578', 'http://dl-learner.org/res/action123031588', 'http://dl-learner.org/res/action123031618', 'http://dl-learner.org/res/action123031638', 'http://dl-learner.org/res/action123031648', 'http://dl-learner.org/res/action123031658', 'http://dl-learner.org/res/action123031668', 'http://dl-learner.org/res/action123031678', 'http://dl-learner.org/res/action123031688', 'http://dl-learner.org/res/action123031698', 'http://dl-learner.org/res/action12303438', 'http://dl-learner.org/res/action12303788']",,,,,,,,,
